product_name,product_brand,product_category,product_code,product_series,product_part_number,business,product_identifier
Panoptix Platform,Johnson Controls,Software Application,"PX-BASE-0, PX-BASET1-0, PX-BASET2-0, PX-BASET3-0, PX-BASET4-0, PX-BASET5-0, PX-BASET6-0, PX-CDA-AIR-0, PX-CDA-AIRT1-0, PX-CDA-AIRT2-0, PX-CDA-AIRT3-0, PX-CDA-AIRT4-0, PX-CDA-AIRT5-0, PX-CDA-AIRT6-0, PX-CDA-CHL-B-0, PX-CDA-CHL-P-0, PX-CDA-CSRQRL-0, PX-CER-0, PX-CERT1-0, PX-CERT2-0, PX-CERT3-0, PX-CERT4-0, PX-CERT5-0, PX-CERT6-0, PX-CUSTOM-0, PX-CUSTOMT1-0, PX-CUSTOMT2-0, PX-CUSTOMT3-0, PX-CUSTOMT4-0, PX-CUSTOMT5-0, PX-CUSTOMT6-0, PX-ECER-0, PX-ECERBFT1-0, PX-ECERBFT2-0, PX-ECERBFT3-0, PX-ECERBFT4-0, PX-ECERBFT5-0, PX-ECERBFT6-0, PX-ECERT1-0, PX-ECERT2-0, PX-ECERT3-0, PX-ECERT4-0, PX-ECERT5-0, PX-ECERT6-0, PX-EPM-0, PX-EPMT1-0, PX-EPMT2-0, PX-EPMT3-0, PX-EPMT4-0, PX-EPMT5-0, PX-EPMT6-0, PX-LGDCEA-0, PX-LGHDE-0, PX-MULTB-0, PX-TENANT-0",Not Specified,Not Specified,Building Automation and Controls,Panoptix_Platform-Joh-_PX-TENANT-0-Nd-naBs
exacqVision Transacq,Exacq,VMS Software,Not Specified,Not Specified,Not Specified,Not Specified,exacqVision_Transacq-Exa-na-Nd-naNd
YCIV,YORK,"Chiller Integration, Condensing Unit, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled",Not Specified,Not Specified,Not Specified,Chillers,YCIV-YOR-na-Nd-naCs
E-Series Heat Detector,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified,E-Series_Heat_Detector-Sim-na-Nd-naNd
2-Wire Heat Detector,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified,2-Wire_Heat_Detector-Sim-na-Nd-naNd
Not Specified,Exacq,"Accessories, VMS Software",Not Specified,Not Specified,Not Specified,Not Specified,na-Exa-na-Nd-naNd
TrueAlarm QuickConnect2 Photoelectric Sensor,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified,TrueAlarm_QuickConnect2_Photoelectric_Sensor-Sim-na-Nd-naNd
Sounder Base,Simplex,"Notification Appliances and Speakers, Sensors and Initiating Devices",Not Specified,Not Specified,Not Specified,Not Specified,Sounder_Base-Sim-na-Nd-naNd
CO Sensor Base,Simplex,"Notification Appliances and Speakers, Sensors and Initiating Devices",Not Specified,Not Specified,Not Specified,Not Specified,CO_Sensor_Base-Sim-na-Nd-naNd
Photoelectric Sensor,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified,Photoelectric_Sensor-Sim-na-Nd-naNd
VG12W5XX-C,Johnson Controls,Flanged Globe or Ball Valve and Actuator,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC,VG12W5XX-C-Joh-na-Nd-naBC
ZFR1800 Series Wireless Field Bus System,Metasys,"Software Application, Wireless Device","MS-ZFR1810-0, MS-ZFR1810-1, MS-ZFR1811-0, MS-ZFR1811-1, MS-ZFR1812-0, MS-ZFRCBL-0, MS-ZFRRPT-0, MS-ZFRRPTK-H1, MS-ZFRRPTK-H2, MS-ZFRZCT-0, Not Specified",Not Specified,Not Specified,Building Automation and Controls,ZFR1800_Series_Wireless_Field_Bus_System-Met-_na-Nd-naBs
KT-1,Kantech,"Accessories, Hardware, Software",Not Specified,Not Specified,Not Specified,Not Specified,KT-1-Kan-na-Nd-naNd
T8600 Thermostat,Johnson Controls,Fan Coil Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC,T8600_Thermostat-Joh-na-Nd-naBC
ACC-RSEN Remote Temperature Sensor,Johnson Controls,"Accessory, Temperature Sensor","ACC-RSEN, ACC-RSEN-OVR",Not Specified,Not Specified,Building Automation and Controls,ACC-RSEN_Remote_Temperature_Sensor-Joh-_ACC-RSEN-OVR-Nd-naBs
T8000 Digital Room Thermostat,Johnson Controls,Digital Thermostat,"ACC-RSEN, ACC-RSEN-OVR, ACC-WALLPLT, ACC-WIFI, T8580, T8590, T8680, T8690",Not Specified,Not Specified,Building Automation and Controls,T8000_Digital_Room_Thermostat-Joh-_T8690-Nd-naBs
VA9109-xGx-4,Johnson Controls,Electric Actuator,"VA9109-AGA-4, VA9109-AGC-4, VA9109-GGA-4, VA9109-GGC-4, VA9109-IGA-4, VA9109-IGC-4, VA9109-xGx-4",Not Specified,Not Specified,Building Automation and Controls,VA9109-xGx-4-Joh-_VA9109-xGx-4-Nd-naBs
eDCM380,CEM Systems,Hardware,Not Specified,Not Specified,DCM380-QG-01 19-A,Access Control,eDCM380-CEM-na-Nd-DCM380-QG-01_19-AAl
Multi-Candela Visible Only V/O Appliances Strobes,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,Multi-Candela_Visible_Only_V/O_Appliances_Strobes-Sim-na-Nd-naNd
Ceiling Mount,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,Ceiling_Mount-Sim-na-Nd-naNd
Chinese/English,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,Chinese/English-Sim-na-Nd-naNd
Addressable Audible/Visible Notification Appliance,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,Addressable_Audible/Visible_Notification_Appliance-Sim-na-Nd-naNd
Speaker/Visible Notification Appliance,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,Speaker/Visible_Notification_Appliance-Sim-na-Nd-naNd
Visible Only Notification Appliances and Speakers,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,Visible_Only_Notification_Appliances_and_Speakers-Sim-na-Nd-naNd
Not Specified,PENN Controls,"Defrost,Multi-Purpose Controller, Electromechanical Pressure Control, Electromechanical Temperature Control, Electronic Refrigeration, Electronic Temperature Control, Line‐Voltage Thermostat, PENN Refrigeration Component and Part, Single‐Phase Motor Speed Controller, System 350 Single-Purpose Modular Control System, System 450 Multi-Purpose Modular Control System, Temperature Actuated Gas Regulating Valve, V50 Temperature Actuated Gas Regulating Valve","350, A10DAC, A19, A19CAC, A19CAC-1C, A19CAC-2C, A19DAC-10C, A19DAC-12C, A19DAC-1C, A19DAC-9C, A19DAF, A19DAF-2C, A19E, A19EAF-1C, A19EAF-6C, A19EAF-7C, A19EBA, A19EBA-1C, A19EBB, A19EBB-1C, A19EBC, A19EBC-1C, A19EDB, A19EDB-1C, A19EDB-3C, A19ZBA-1C, A350, A350A, A350B, A350E, A350EA-4C, A350EB-4C, A350P, A350R, A350S, A350SS, A350SS-1C, A350SS-2C, BKT287, BKT287-1R, BKT287-2R, BKT287-3R, BKT287-4R, CLK350-2, Not Specified, P315, P315PR-9200C, P315PR-9200D, P315PR-9200X, P315PR-9200c, P315PR-9202C, P315PR-9203C, P315PR-9203D, P315PR/RM, P352, PLT344, PLT344-1R, R353, R353AA, R353AA-1C, S350, S350C, S350CC, S350CC-1C, S350P, S350PQ-1C, S353, S353AA-1C, T-275-100, T-800-1603, T-800-1604, T-800-1605, T-800-1606, T-800-1610, T19, T19PC, T19PC-1C, T275, T275-100, V50AB, V50AB-12C, V50AB-1C, V50AB-3C, V50AB-5C, V50AB-7C, V50AB-8C, V50AC, V50AC-5C, V50AC-7C, V50AC-8C, V50AD, V50AD-2C, V50AE, V50AE-2C, V50AE-3C, V50BB, V50BB-3C, V50BC-4C, WHA29A, WHA29A-600R, WHA29A-603R, WHA29A-604R, Y63, Y63F22-0, Y63T22-0, Y63T31-0, Y64, Y64T15-0, Y64T21-0, Y64T22-0, Y65, Y65A13-0, Y65A13-0D, Y65A21-0, Y65F13-0, Y65F42-0, Y65G13-0, Y65S13-0, Y65T31-0, Y65T42-0, Y65T42-0D, Y65T54-0, Y66, Y66F12-0, Y66F13-0, Y66T12-0, Y66T13-0, Y69T15-0, Y99","A19, Not Specified, P315, P316, System 350, System 450, T19, V50, Y63, Y64, Y65, Y66, Y69",Not Specified,Building Automation and Controls,na-PEN-_Y99-A9-naBs
exacqVision Edge,Exacq,"Edge Video, VMS Software",Not Specified,Not Specified,Not Specified,Not Specified,exacqVision_Edge-Exa-na-Nd-naNd
TrueAlert Multi-Candela Speaker/Visible S/V Appliances,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified,TrueAlert_Multi-Candela_Speaker/Visible_S/V_Appliances-Sim-na-Nd-naNd
SEC,Johnson Controls,"Field Device, General System Information","LC-BYP100-0, LC-PEC1001-0, LC-PEC1002-0, LC-RTU1001-0, LC-RTU1002-0, LC-RTU1003-0, LC-RTU1004-0, LC-RTU1005-0, LC-SMU200-0, LC-SMU210-0, LC-ZCU100-0, LC-ZCU110-0, LC-ZCU200-0, LC-ZCU210-0, LC-ZCU300-0, LC-ZCU310-0, LC-ZCU400-0, LC-ZCU410-0, LC-ZEC100-0, LC-ZEC110-0, LC-ZEC120-0, LC-ZEC300-0, LC-ZEC400-01, LC-ZEC400-02, LC-ZEC400-03, LC-ZEC400-04, LC-ZEC400-05, LC-ZEC400-06, LC-ZEC400-07, LC-ZEC400-08, LC-ZEC400-09, LC-ZEC400-10, LC-ZEC400-11, LC-ZEC400-12, LC-ZEC400-13, LC-ZEC400-14, LC-ZEC400-15, LC-ZEC400-16, LC-ZEC400-17, LC-ZEC400-18, LC-ZEC400-19, LC-ZEC400-20, LC-ZEC400-21, LC-ZEC400-22, LC-ZEC400-23, LC-ZEC400-24, LC-ZEC400-25, LC-ZEC400-26, LC-ZEC400-27, Not Specified, SE-COM1001-0, SE-ECO1001-0, SE-ECO1001-1, SE-ECON1001-1, SE-FDD1001-0, SE-FDD1001-1, SE-SPU1001-0, SE-SPU1001-1, SE-SPU1002-0, SE-SPU1002-1, SE-SPU1004-0, SE-SPU1004-1, SE-SPU1011-0, SE-SPU1011-1, SE-SPU1011-7, SE-SPU1012-0, SE-SPU1012-1, SE-SPU1012-7, SE-ZEC500-1, SE-ZEC510-1, UBD-012X014-0, UBD-012X014-1, UBD-012X014-2, UBD-014X012-0, UBD-014X012-0C, UBD-014X012-1, UBD-014X012-1C, UBD-014X012-2, UBD-014X012-2C, UBD-016X016-0, UBD-016X016-0C, UBD-016X016-1, UBD-016X016-1C, UBD-016X016-2, UBD-016X016-2C, UBD-020X020-0, UBD-020X020-0C, UBD-020X020-1, UBD-020X020-1C, UBD-020X020-2, UBD-020X020-2C, UBD-030X030-0, UBD-030X030-0C, UBD-030X030-1, UBD-030X030-1C, UBD-030X030-2, UBD-030X030-2C, UBR-10-0, UBR-10-0C, UBR-10-1, UBR-10-1C, UBR-10-2, UBR-10-2C, UBR-12-0, UBR-12-0C, UBR-12-1, UBR-12-1C, UBR-12-2, UBR-12-2C, UBR-14-0, UBR-14-0C, UBR-14-1, UBR-14-1C, UBR-14-2, UBR-14-2C, UBR-16-0, UBR-16-0C, UBR-16-1, UBR-16-1C, UBR-16-2, UBR-16-2C, UZD-008X012-0, UZD-008X012-0C, UZD-008X012-1, UZD-008X012-1C, UZD-008X012-2, UZD-008X012-2C, UZD-008X014-0, UZD-008X014-0C, UZD-008X014-1, UZD-008X014-1C, UZD-008X014-2, UZD-008X014-2C, UZD-008X016-0, UZD-008X016-0C, UZD-008X016-1, UZD-008X016-1C, UZD-008X016-2, UZD-008X016-2C, UZD-010X016-0, UZD-010X016-0C, UZD-010X016-1, UZD-010X016-1C, UZD-010X016-2, UZD-010X016-2C, UZD-010X020-0, UZD-010X020-0C, UZD-010X020-1, UZD-010X020-1C, UZD-010X020-2, UZD-010X020-2C, UZD-012X008-0, UZD-012X008-1, UZD-012X008-2, UZD-012X008-3, UZD-012X008-4, UZD-012X008-5, UZD-012X008-6, UZD-012X008-7, UZD-012X008-8, UZD-014X008-0, UZD-014X008-1, UZD-014X008-2, UZD-014X008-3, UZD-014X008-4, UZD-014X008-5, UZD-014X008-6, UZD-014X008-7, UZD-014X008-8, UZD-014X018-0, UZD-014X018-0C, UZD-014X018-1, UZD-014X018-1C, UZD-014X018-2, UZD-014X018-2C, UZD-014X018-3, UZD-014X018-4, UZD-014X018-5, UZD-014X018-6, UZD-014X018-7, UZD-014X018-8, UZD-016X008-0, UZD-016X008-1, UZD-016X008-2, UZD-016X008-3, UZD-016X008-4, UZD-016X008-5, UZD-016X008-6, UZD-016X008-7, UZD-016X008-8, UZD-016X010-0, UZD-016X010-1, UZD-016X010-2, UZD-016X010-3, UZD-016X010-4, UZD-016X010-5, UZD-016X010-6, UZD-016X010-7, UZD-016X010-8, UZD-018X014-0, UZD-018X014-1, UZD-018X014-2, UZD-018X014-3, UZD-018X014-4, UZD-018X014-5, UZD-018X014-6, UZD-018X014-7, UZD-018X014-8, UZD-020X010-0, UZD-020X010-1, UZD-020X010-2, UZD-020X010-3, UZD-020X010-4, UZD-020X010-5, UZD-020X010-6, UZD-020X010-7, UZD-020X010-8, UZR-06-0, UZR-06-0C, UZR-06-1, UZR-06-1C, UZR-06-2, UZR-06-2C, UZR-06-3, UZR-06-4, UZR-06-5, UZR-06-6, UZR-06-7, UZR-06-8, UZR-08-0, UZR-08-0C, UZR-08-1, UZR-08-1C, UZR-08-2, UZR-08-2C, UZR-08-3, UZR-08-4, UZR-08-5, UZR-08-6, UZR-08-7, UZR-08-8, UZR-10-0, UZR-10-0C, UZR-10-1, UZR-10-1C, UZR-10-2, UZR-10-2C, UZR-10-3, UZR-10-4, UZR-10-5, UZR-10-6, UZR-10-7, UZR-10-8, UZR-12-0, UZR-12-0C, UZR-12-1, UZR-12-1C, UZR-12-2, UZR-12-2C, UZR-12-3, UZR-12-4, UZR-12-5, UZR-12-6, UZR-12-7, UZR-12-8, UZR-14-0, UZR-14-0C, UZR-14-1, UZR-14-1C, UZR-14-2, UZR-14-2C, UZR-14-3, UZR-14-4, UZR-14-5, UZR-14-6, UZR-14-7, UZR-14-8, UZR-16-0, UZR-16-0C, UZR-16-1, UZR-16-1C, UZR-16-2, UZR-16-2C, UZR-16-3, UZR-16-4, UZR-16-5, UZR-16-6, UZR-16-7, UZR-16-8",Not Specified,Not Specified,Building Automation and Controls,SEC-Joh-_UZR-16-8-Nd-naBs
PCA Control Panel,Facility Explorer,Control Panel,"Not Specified, P2AAN-EA001N00, P2BAN-EA001N00, P2CAN-EA001Y00, P2DAN-EA001N00, P2DAN-EA002N00, P2DAN-EA002Y00, P2DAN-EAFA1N00, P2DAN-EAFA2N00, P2DAN-EAFA2Y00, PAYE00001AH0, PAYE00001AH4, PAYE00001BH0, PAYE00001BH4, PAYE00001FH0, PAYE00001FH4, PAYE00002AH0, PAYE00011BH0, PAYE00011EH0, PAYEZA001AH0, PAYEZA001BH0, PAYEZA011BH0, PAYEZB002AH0, PAYEZB002BH0, PAYEZB012BH0, PAYEZC002AH0, PAYEZC002BH0, PAYEZC012BH0, PAYEZD002AH0, PAYEZD002BH0, PAYEZD002BH4, PAYEZD012BH0, PAYEZE002BH0, PAYF00001BH4, PAYF00011BA0, PAYF00011BH0, PAYF00011EA0, PAYF00011EH0, PAYF00M01FC0, S2A0N-EA001N00, S2B0N-EA001N00, S2C0N-EA001Y00, S2D0N-EA001N00, S2D0N-EA002N00, S2D0N-EA002Y00, S2D0N-EAFA1N00, S2D0N-EAFA2N00, S2D0N-EAFA2Y00, SAYE00001A00, SAYE00001A04, SAYE00001B00, SAYE00001B04, SAYE00001F00, SAYE00001F04, SAYE00002A00, SAYE00011B00, SAYE00011E00, SAYEZA001A00, SAYEZA001B00, SAYEZA011B00, SAYEZB002A00, SAYEZB002B00, SAYEZB012B00, SAYEZC002A00, SAYEZC002B00, SAYEZC012B00, SAYEZD002A00, SAYEZD002B00, SAYEZD002B04, SAYEZD012B00, SAYEZE002B00, SAYF00001B04, SAYF00011B00, SAYF00011E00, TL-PWRKIT-0A",Not Specified,Not Specified,Building Automation and Controls,PCA_Control_Panel-Fac-_TL-PWRKIT-0A-Nd-naBs
PCX Control Panel,Facility Explorer,Control Panel,"Not Specified, P2AAN-EA001N00, P2BAN-EA001N00, P2CAN-EA001Y00, P2DAN-EA001N00, P2DAN-EA002N00, P2DAN-EA002Y00, P2DAN-EAFA1N00, P2DAN-EAFA2N00, P2DAN-EAFA2Y00, PAYA00001AH0, PAYA00001BH0, PAYA00001BH4, PAYA00001FH0, PAYA00001FH4, PAYA00011BH0, PAYA00011EH0, PAYAZA001AH0, PAYAZA001BH0, PAYAZA011BH0, PAYAZB002AH0, PAYAZB002BH0, PAYAZB012BH0, PAYAZC002AH0, PAYAZC002BH0, PAYAZC012BH0, PAYAZD002AH0, PAYAZD002BH0, PAYAZD012BH0, PAYB00001AH0, PAYB00001AH4, PAYB00001BH0, PAYB00001BH4, PAYB00001FH0, PAYB00001FH4, PAYB00002AH0, PAYB00011BH0, PAYB00011EH0, PAYBZA001AH0, PAYBZA001BH0, PAYBZA011BH0, PAYBZB002AH0, PAYBZB002BH0, PAYBZB012BH0, PAYBZC002AH0, PAYBZC002BH0, PAYBZC012BH0, PAYBZD002AH0, PAYBZD002BH0, PAYBZD002BH4, PAYBZD012BH0, PAYBZE002BH0, PAYBZF002AH0, PAYBZF002BH0, PAYBZG002AH0, PAYBZG002BH0, PAYBZH002AH0, PAYBZH002BH0, PAYC00001BH0, PAYC00001FH0, PAYD00001AH0, PAYD00001BH0, PAYD00001FH0, PAYE00001AH0, PAYE00001AH4, PAYE00001BH0, PAYE00001BH4, PAYE00001FH0, PAYE00001FH4, PAYE00002AH0, PAYE00011BH0, PAYE00011EH0, PAYEZA001AH0, PAYEZA001BH0, PAYEZA011BH0, PAYEZB002AH0, PAYEZB002BH0, PAYEZB012BH0, PAYEZC002AH0, PAYEZC002BH0, PAYEZC012BH0, PAYEZD002AH0, PAYEZD002BH0, PAYEZD002BH4, PAYEZD012BH0, PAYEZE002BH0, PAYF00001BH4, PAYF00011BA0, PAYF00011BH0, PAYF00011EA0, PAYF00011EH0, PAZA00001FH0, PAZB00001FH0, PAZC00001FH0, PAZD00001FH0, PAZF00001FH0, PAZG00001FH0, PAZH00001FH0, S2A0N-EA001N00, S2B0N-EA001N00, S2C0N-EA001Y00, S2D0N-EA001N00, S2D0N-EA002N00, S2D0N-EA002Y00, S2D0N-EAFA1N00, S2D0N-EAFA2N00, S2D0N-EAFA2Y00, SAYE00001A00, SAYE00001A04, SAYE00001B00, SAYE00001B04, SAYE00001F00, SAYE00001F04, SAYE00002A00, SAYE00011B00, SAYE00011E00, SAYEZA001A00, SAYEZA001B00, SAYEZA011B00, SAYEZB002A00, SAYEZB002B00, SAYEZB012B00, SAYEZC002A00, SAYEZC002B00, SAYEZC012B00, SAYEZD002A00, SAYEZD002B00, SAYEZD002B04, SAYEZD012B00, SAYEZE002B00, SAYF00001B04, SAYF00011B00, SAYF00011E00",Not Specified,Not Specified,Building Automation and Controls,PCX_Control_Panel-Fac-_SAYF00011E00-Nd-naBs
YCWL,YORK,"Condensing Unit, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Not Specified,Chillers,YCWL-YOR-na-Nd-naCs
FAC Control Panel,Metasys,Control Panel,"Not Specified, P2AAN-DA001N00, P2BAN-DA001N00, P2CAN-DA001Y00, P2CAN-DB001Y00, P2CCN-DB001Y00, P2DAN-DA001N00, P2DAN-DA002N00, P2DAN-DA002Y00, P2DAN-DACD1N00, P2DAN-DACD2N00, P2DAN-DACD2Y00, P2DAN-DB001Y00, P2DAY-DB001N00, P2DCN-DB001Y00, PAKL00001AA0, PAKL00001AH0, PAKL00001AH4, PAKL00001BA0, PAKL00001BH0, PAKL00001BH4, PAKL00001FA0, PAKL00001FH0, PAKL00001FH4, PAKL00002AH0, PAKL00011BH0, PAKL00011EH0, PAKL0001FH4, PAKLJF001AH0, PAKLJF001BH0, PAKLJF011BH0, PAKLJG002AH0, PAKLJG002BH0, PAKLJG012BH0, PAKLJH002AH0, PAKLJH002BH0, PAKLJH012BH0, PAKLJJ002AH0, PAKLJJ002BH0, PAKLJJ002BH4, PAKLJJ012BH0, PAKLJK002BH0, PAKM00001BH4, PAKM00011BA0, PAKM00011BH0, PAKM00011EA0, PAKM00011EH0, PAKM00M01FC0, S2A0N-DA001N00, S2B0N-DA001N00, S2C0N-DA001Y00, S2C0N-DB001Y00, S2D0N-DA001N00, S2D0N-DA002N00, S2D0N-DA002Y00, S2D0N-DACD1N00, S2D0N-DACD2N00, S2D0N-DACD2Y00, S2D0N-DB001Y00, S2D0Y-DB001N00, SAKL00001A00, SAKL00001A04, SAKL00001B00, SAKL00001B04, SAKL00001F00, SAKL00001F04, SAKL00002A00, SAKL00011B00, SAKL00011E00, SAKLJF001A00, SAKLJF001B00, SAKLJF011B00, SAKLJG002A00, SAKLJG002B00, SAKLJG012B00, SAKLJH002A00, SAKLJH002B00, SAKLJH012B00, SAKLJJ002A00, SAKLJJ002B00, SAKLJJ002B04, SAKLJJ012B00, SAKLJK002B00, SAKM00011B00, SAKM00011B04, SAKM00011E00, TL-PWRKIT-0A",Not Specified,Not Specified,Building Automation and Controls,FAC_Control_Panel-Met-_TL-PWRKIT-0A-Nd-naBs
