product_name,brand,product_category,product_code,product_series,business,product_identifier
DMPR-KS001 Damper Position Indicator Switch Kit,Johnson Controls,Damper Parts and Accessories,"DMPR-KC009, DMPR-KS001",Not Specified,Building Automation and Controls,24ec17a1989d752bd942710d871b8be183603510
YCAL,YORK,"Chiller Integration, Condensing Unit, Reciprocating, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,ae992366bec5ac9fa3ce0eb6d4260c05a3cfba89
T500 Non-Programmable Thermostat,Johnson Controls,"Non-Programmable Thermostat, Programmable Thermostat","T500HCN-1, T500HPP-1, T500HPP-2, T500MSN-1, T500MSP-1, T600MSP-1",Not Specified,Building Automation and Controls,e5bc80ae1f405ce74fd21548f85d5f29cf89a287
T500 Programmable Thermostat,Johnson Controls,"Non-Programmable Thermostat, Programmable Thermostat","T500HCN-1, T500HPP-1, T500HPP-2, T500MSN-1, T500MSP-1, T600MSP-1",Not Specified,Building Automation and Controls,64bc0fdb8b93f7e8bdd73ebec4e72cb1bcc7f46c
YK,YORK,"Centrifugal, Screw Air Cooled, Screw Water Cooled",Not Specified,Not Specified,Chillers,2a6a4fefe15f86ff2f817a819349c0cc60e99888
YCRZ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,a161037211a206cb1b358f7e8f4bcb3436e5f347
YCWZ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,51ed35acbdeaa1851a9a9c18e6c160394c726670
YCAJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,ed700b13e11037262ef088f3a5bc139d167d4e31
YCAZ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,678967eca750d6a532966ea22aeda8b9c43238d9
Not Specified,YORK,"Absorption, Centrifugal, Compressor, Condensing Unit, Reciprocating, Screw Air Cooled, Screw Water Cooled, Scroll Air Cooled, Scroll Water Cooled",Not Specified,Not Specified,Chillers,c0a99e2968bfabeab288bba75f304d0faf9f7692
YB,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,303799aeeed7e131ddbbaf8ea9ec528107b9e381
YG,YORK,"Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,4ec634e72c23bf7ad72013fa211efd30aa996a9a
Round Damper,Johnson Controls,Control Damper,RCG,Not Specified,Building Automation and Controls,f49aadb91f2e7bb8b376ee56f6832552b3ad6b8f
A-4000-108,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,ae3dce20358307f92ee3f666fb023c272a187e67
A-4000-114,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,13ec5dbc014a522d0dce529480bafb11c7e3f820
T-4000 Pneumatic Room Thermostat,Johnson Controls,"Accessory, Pneumatic Thermostat, Room Thermostat, Temperature and Humidity Controller, Thermostat Accessories","F-100-20, F-1000-321, F-1000-322, F-1000-332, F-1000-395, F-300-30, F-300-31, F-300-34, F-300-35, F-500-45, F-700-83, F-700-84, F-700-85, F-700-86, F-700-94, F-700-95, JC 5310, JC 5361, M-4002-600, R-3710-1005, R-3710-1007, R-3710-3205, R-3710-3207, S-7200-1, T-275-100, T-275-101, T-4000-108, T-4000-110, T-4000-111, T-4000-112, T-4000-1138, T-4000-114, T-4000-1144, T-4000-1145, T-4000-115, T-4000-116, T-4000-117, T-4000-119, T-4000-2138, T-4000-2139, T-4000-2140, T-4000-2141, T-4000-2142, T-4000-2144, T-4000-2145, T-4000-2146, T-4000-2151, T-4000-2639, T-4000-2640, T-4000-2642, T-4000-2644, T-4000-2645, T-4000-3139, T-4000-3139B, T-4000-3140, T-4000-3141, T-4000-3142, T-4000-3144, T-4000-3145, T-4000-603, T-4000-604, T-4000-605, T-4000-610, T-4000-611, T-4000-612, T-4000-6138, T-4000-6139, T-4000-6140, T-4000-6141, T-4000-6142, T-4000-6144, T-4000-6145, T-4000-6146, T-4000-6147, T-4000-615, T-4000-616, T-4000-622, T-4000-623, T-4000-627, T-4000-628, T-4000-629, T-4000-630, T-4000-9140, T-4000-9142, T-4002-100, T-4002-122, T-4002-123, T-4002-124, T-4002-125, T-4002-130, T-4002-201, T-4002-202, T-4002-203, T-4002-204, T-4002-2123, T-4002-2124, T-4002-2126, T-4002-2127, T-4002-2129, T-4002-2130, T-4002-2132, T-4002-2133, T-4002-2137, T-4002-3000, T-4002-3001, T-4002-3004, T-4002-301, T-4002-302, T-4002-303, T-4002-304, T-4002-5003, T-4002-5009, T-4002-5010, T-4002-5012, T-4002-5017, T-4002-5018, T-4002-600, T-4002-6029, T-4002-6038, T-4002-6045, T-4002-6049, T-4002-617, T-4002-619, T-4002-624, T-4002-625, T-4002-9008, T-4002-9009, T-4002-9012, T-4002-9014, T-4003-201, T-4003-203, T-4003-8008, T-4054-1, T-4054-2, T-4100-1, T-4100-100, T-4100-101, T-4100-102, T-4100-103, T-4100-2, T-4100-3, T-4100-4, T-4100-600, T-4110-1, T-4110-2, T-4110-3, T-4110-4, T-4502-1735, T-4502-1736, T-4506-100, T-4506-101, T-4506-102, T-4506-103, T-4506-2000, T-4506-2001, T-4506-2002, T-4506-2003, T-4506-2004, T-4506-201, T-4506-202, T-4506-203, T-4506-204, T-4506-209, T-4506-217, T-4506-600, T-4506-601, T-4506-602, T-4506-603, T-4506-604, T-4506-605, T-4506-606, T-4506-607, T-4506-9005, T-4506-9007, T-4506-9070, T-4512-100, T-4516-201, T-4516-202, T-4516-9003, T-4600-1, T-4600-2, T-4600-3, T-4600-5, T-4600-6, T-4752-201, T-4752-202, T-4752-205, T-4752-206, T-4752-619, T-4752-620, T-4756-1738, T-4756-1739, T-4756-201, T-4756-202, T-4756-205, T-4756-206, T-4756-2141, T-4756-2145, T-4756-6141, T-4756-6145, T-4756-6738, T-4756-6739, T-4756-9003, T-4756-9007, T-4756-9012, T-4756-9738, TE-1800-9600",Not Specified,Building Automation and Controls,0c11a1192f195193dc97d0281d388012ff1c4823
Thermostat Hardware,Johnson Controls,"Pneumatic Thermostat, Room Thermostat, Thermostat Accessories","F-100-20, F-1000-171, F-1000-321, F-1000-322, F-1000-332, F-1000-395, F-300-30, F-300-31, F-300-34, F-300-35, F-500-45, F-700-83, F-700-84, F-700-85, F-700-86, F-700-94, F-700-95, JC 5310, JC 5361, R-3710-1005, R-3710-1007, R-3710-3205, R-3710-3207, T-275-100, T-275-101, T-4000-108, T-4000-110, T-4000-111, T-4000-112, T-4000-114, T-4000-115, T-4000-116, T-4000-117, T-4002-100, T-4002-122, T-4002-123, T-4002-124, T-4002-125, T-4002-3000, T-4002-3001, T-4002-3004, T-4002-5003, T-4002-5010, T-4002-5012, T-4002-5017, T-4002-5018, T-4002-6029, T-4002-6038, T-4002-6045, T-4100-100, T-4100-101, T-4100-102, T-4100-103, T-4506-100, T-4506-101, T-4506-102, T-4506-103, T-4512-100, T-752-1001, T-800-1611, T-800-1614, T-800-1615, T-800-1616, T-800-1617, TE-1800-9600",Not Specified,Building Automation and Controls,e8c2f7a4910a3b97afdb0ff40c3261e73e36b07c
KZ-4000 General Purpose Relay,Johnson Controls,Accessory,"KZ-4000, KZ-4000-4, KZ-4000-5, KZ-4000-6, KZ-4000-7, KZ-4000-8, M-4002-600",Not Specified,Building Automation and Controls,293fe5990416c6dfc6ec765bcb31ede7eab6e1d9
LC-3000 Load Limiting Controller,Johnson Controls,Field Device,"LC-3000-10, LC-3000-5",Not Specified,Building Automation and Controls,e12c5119bf75ef51fc4fb33e68aa8b5ab5281182
Pneumatic Control Cross-Reference,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,de837bacdb4d4e527d5fd98c76ca403095f7b8a4
Smoke Detector,Simplex,Accessories,2098-9715,Not Specified,Not Specified,7a25066312732ce770de63916d3e5bd721c900ab
YDAS,YORK,Screw Air Cooled,Not Specified,Not Specified,Chillers,7f48d10089e81679d0573381b945d8b742575b08
DPT-2015 Differential Pressure Transmitter,Johnson Controls,Transmitter,"DPT-2015-0, DPT-2015-MNT",Not Specified,Building Automation and Controls,8244ea71c642b937aad0453b1ec2e65cd66224e2
DMPR-KC254 Inside Frame Mounting Kit,Johnson Controls,Damper Parts and Accessories,"DMPR-KC055, DMPR-KC254, DMPR-KC255, DMPR-KC256, DMPR-KC257, DMPR-KC258",Not Specified,Building Automation and Controls,a20e1ee0178f2609e361e92aeb4ea75181908bd7
YDAJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,f94f8b7c16d94f3a71c423495178374b9af4fab0
YEAJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,0ed3a8437f9b5f15f6a81bab2e8e6d5b9dfb5cca
YEAZ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,88a47c605984184919c599ccccdedb002ffdfdad
DMPR-KC001 Blade Pin Extension Support Bracket,Johnson Controls,Damper Parts and Accessories,"DMPR-KC001, DMPR-KC003, DMPR-KC004, DMPR-KC005, DMPR-KC006, DMPR-KC007, DMPR-KC008",Not Specified,Building Automation and Controls,52554933643c3956c7db3aafaafb31dfee516576
DMPR-KC008 Blade Pin Extension Support Bracket,Johnson Controls,Damper Parts and Accessories,"DMPR-KC001, DMPR-KC003, DMPR-KC004, DMPR-KC005, DMPR-KC006, DMPR-KC007, DMPR-KC008",Not Specified,Building Automation and Controls,999b5dd48b16c4597cdac322bb8964433e6846fc
DMPR-KR001 Mounting Kit,Johnson Controls,"Control Damper, Damper Parts and Accessories",DMPR-KR001,Not Specified,Building Automation and Controls,f95ebf7dfc0a1e81924731929b51df9c57b45592
RD-2000 Round Control Damper,Johnson Controls,"Control Damper, Damper Parts and Accessories","DMPR-KR001, RCG, RLA, RLG, RLS",Not Specified,Building Automation and Controls,994eae2d45be5ac9392959e683f6f491019882ac
YCRJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,ea284680904064695f0436c6188dba6a09d3392c
YCWJ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,a57ddc7260e24f2366a7516ba4d0e84773002a8a
JC 5383A System Simulator and Calibration Kit,Johnson Controls,"Pneumatic Thermostat, Room Thermostat","JC 5383A, JC 5383B",Not Specified,Building Automation and Controls,031f9886ec36a4a1e7b387b35b30ff06ffbf5b69
DMPR-KC054 Blade Arm,Johnson Controls,Damper Parts and Accessories,DMPR-KC054,Not Specified,Building Automation and Controls,53c9d9efed685ddb9c2be9b15293170a07fe8ee1
DMPR-KC100 Internal Vertical Blade-to-Blade Linkage,Johnson Controls,Damper Parts and Accessories,DMPR-KC100,Not Specified,Building Automation and Controls,aac2b805085faf4932d5ca01ba97c02c5d676fdd
DMPR-KC101 External Pin-to-Pin Linkage,Johnson Controls,Damper Parts and Accessories,DMPR-KC101,Not Specified,Building Automation and Controls,c17d074fa75c5fee570820271c6d10d757654a4f
DMPR-KC150 Horizontal Blade-to-Blade Bracket,Johnson Controls,Damper Parts and Accessories,DMPR-KC150,Not Specified,Building Automation and Controls,7f4c9f179136006d9ebd31e9bf0b0809eefff734
DMPR-KC151 Horizontal Blade-to-Blade Bracket,Johnson Controls,Damper Parts and Accessories,DMPR-KC151,Not Specified,Building Automation and Controls,ad198f31ab534284415209086be873a371ddfeea
DMPR-KC152 90 Degree Blade-to-Blade Linkage,Johnson Controls,Damper Parts and Accessories,DMPR-KC152,Not Specified,Building Automation and Controls,211d069d95f119364c88d88566ecd0e62c5fa147
DMPR-KC200 Support Bar,Johnson Controls,Damper Parts and Accessories,DMPR-KC200,Not Specified,Building Automation and Controls,551b79a3cf6ab1cd744498c8c0e771d3cbd2b06b
DMPR-KC201 Damper Fastener,Johnson Controls,Damper Parts and Accessories,DMPR-KC201,Not Specified,Building Automation and Controls,1913c648c5191b74c665980167cbab87d46b331f
DMPR-KC202 Internal Pin-to-Pin Coupling,Johnson Controls,Damper Parts and Accessories,"DMPR-KC202, DMPR-KC209",Not Specified,Building Automation and Controls,b828074dc2526d4db62920858e33a71f3e848731
DMPR-KC203 Drive Arm,Johnson Controls,Damper Parts and Accessories,DMPR-KC203,Not Specified,Building Automation and Controls,25c1e3eedd33adffd6b85cfd5114b6bb7be7cbdd
DMPR-KS101 SD-1300 Actuator Mounting Bracket Conversion Kit,Johnson Controls,Damper Parts and Accessories,DMPR-KS101,Not Specified,Building Automation and Controls,e3731682938ca99e76381e2478c970a3b2ec4c8a
DMPR-KS102 SD-1300 Actuator Mounting Bracket Conversion Kit,Johnson Controls,Damper Parts and Accessories,DMPR-KS102,Not Specified,Building Automation and Controls,7b38a1cd14c7c88fe70e01727ae94e0e4ece44a5
DMPR-KS103 SD-1300 Actuator Mounting Bracket Conversion Kit,Johnson Controls,Damper Parts and Accessories,DMPR-KS103,Not Specified,Building Automation and Controls,3e2f7afffde13dbd5a19eec3ac5a1af685be0b58
YIA,YORK,"Absorption, Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,d23d713638dce0f544dbfde58ecfbc9e54a54792
Modular I/O Assembly,PENN Controls,PENN Refrigeration Component and Part,"MI1, MIOA, MIOA0000, MIOA0202, MIOA0303, MIOA1010, MIOA1100, MIOA1212, MO2, MO3",MIOA,Building Automation and Controls,3dc001f35debf427e4d7a8a71a1d8deab48b86c8
YPC,YORK,"Absorption, Centrifugal, Screw Water Cooled",Not Specified,Not Specified,Chillers,37a1555ebfbf609b43d9be88b6e72187ce5bc92e
T-4000 Conversion Kit,Johnson Controls,Accessory,"T-4000-605, T-4000-630",Not Specified,Building Automation and Controls,57fb0512fdfc65cef9ea04c8d764b1d66f150da8
YCUZ,YORK,Condensing Unit,Not Specified,Not Specified,Chillers,d5c1e47594fc721172de43fd1ffaa6ec0313d41f
YCAG,YORK,Reciprocating,Not Specified,Not Specified,Chillers,0133e1c2bafee51c7432d85a4b7fb88eb2486fcf
YCAH,YORK,Reciprocating,Not Specified,Not Specified,Chillers,12e975903f136917dd1c9fb2e4934e687dda454f
YCAI,YORK,Reciprocating,Not Specified,Not Specified,Chillers,1f5b6e9533f857ea7f598edfd38a8101b0a86e0c
YCAK,YORK,Reciprocating,Not Specified,Not Specified,Chillers,f29ead0ede7a7cbdb1ccfe71e663298f45f146ea
YCAM,YORK,Reciprocating,Not Specified,Not Specified,Chillers,1550ee1be1b8362db12ec19f4a061340098b02a5
YCAN,YORK,Reciprocating,Not Specified,Not Specified,Chillers,28ac269c1ffe260e8c55dadf6058ca4de52099f2
YCAQ,YORK,Reciprocating,Not Specified,Not Specified,Chillers,86676936ec04bc66f2e22f16f3c46c421e95c3c5
YCHA,YORK,Reciprocating,Not Specified,Not Specified,Chillers,b3444bf8e883cf327c40472143d1a049134d9b16
YEAS,YORK,Screw Air Cooled,Not Specified,Not Specified,Chillers,d3c4000f0ac68a86ecb999fffcaa7a3ee8b01188
GRD Universal Thermostat Guard,Johnson Controls,Accessory,"GRD10-1R, GRD10A-600, GRD10A-601, GRD10A-606, GRD10A-608, GRD10A-609",Not Specified,Building Automation and Controls,79199da47449f0d8ca9bd338f5d713b0cb101411
FD-1300 1-1/2 Hour Dynamically Rated Fire Damper,Johnson Controls,Fire and Smoke Safety Damper,Not Specified,Not Specified,Building Automation and Controls,907b8148e853afb2954798ad7e985be43a481bfc
T-3300 Thermostat,Johnson Controls,Pneumatic Thermostat,"T-3300-1, T-3300-2",Not Specified,Building Automation and Controls,fcb7a2fa4ec4ef2a0f1620dd65a487f01be67f95
T-4500 Thermostat,Johnson Controls,Pneumatic Thermostat,Not Specified,Not Specified,Building Automation and Controls,34ea9e60232612a123c416be17155fdd05bff364
T-4700 Thermostat,Johnson Controls,Pneumatic Thermostat,Not Specified,Not Specified,Building Automation and Controls,b838a38e2282d40774f3cd7dbe1161902dda1ce0
T-3311 Thermostat,Johnson Controls,"Pneumatic Actuator, Pneumatic Thermostat",Not Specified,Not Specified,Building Automation and Controls,b664ad2f3f0c0c4b21aee88fd62411081851ef93
JC-BASIC,Metasys,Supervisory Device,"WS-SWOJCB-0C, WS-SWOJCB-6C",Not Specified,Building Automation and Controls,f20b621a2933ef73184110e984628a56444458fe
CD-1300 Control Damper,Johnson Controls,Control Damper,"DOPEN, DOPHN, DOPSN",Not Specified,Building Automation and Controls,6887b5a4042e1a591c082d126f16c3f537911e59
S26 Switching Subbase,Johnson Controls,Accessory,Not Specified,Not Specified,Building Automation and Controls,58ce1225fa7be591269e4221604993333adfe864
DMPR-MPF342 Electric Actuator and Damper Assembly,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,7d468dbd4b79c2250765b15a5fee599cd79511ef
2904-9060 Weatherproof Visible Appliance,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,306434f171f8f1af54c084c45ad1cf080a5c6258
Blade Arm Kit,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,2e64ceb6bf662939b504ade5b3c91e6d7d6e1c72
TE-6300 Sensor Holder and Retainer,Johnson Controls,"Accessory, Temperature Sensor",TE-6300,Not Specified,Building Automation and Controls,3ec470c52fa8cc20d8afc8fdd5a9f98cb982da89
TE-6300 Temperature Sensor,Johnson Controls,"Accessory, Temperature Sensor","TE-6300, TE-6300A, TE-6300E, TE-6300F, TE-6300M, TE-6300P, TE-6300V, TE-6300W-101, TE-6315M-1, TE-63xS",Not Specified,Building Automation and Controls,86ffbcdacae94cb4815fede964c8a33759b9c415
T-3200 Thermostat,Johnson Controls,"Pneumatic Thermostat, Temperature and Pressure Thermostat",T-3200-1,Not Specified,Building Automation and Controls,a34eb6f7e5975833eb0f42995b228cbe46807de0
T-3100 Thermostat,Johnson Controls,"Pneumatic Thermostat, Temperature and Pressure Thermostat","T-3100-2, T-3100-3, T-3100-6005, T-3111-1, T-3111-2, T-3111-3, T-3111-6, T-3200-1, T-3300-1, T-3300-2, T-3311-1, T-3311-2",Not Specified,Building Automation and Controls,f26835baa765a3d194a450e54d65108657c02855
Damper Installation,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,04084f36568939d68a32503da4f7fe7ae24f221e
2902 Series 4000-Type,Simplex,Accessories,Not Specified,Not Specified,Not Specified,c21447901f96bc5dc5d5eea6250f4116e2cdfc25
ACC-500-2 Thermostat Wall Plate,Johnson Controls,Accessory,ACC-500-2,Not Specified,Building Automation and Controls,5cacba389e6390f8f6f0f7b8ebf49439ea95d8c0
LC-6100 Load Limiting Controller,Johnson Controls,Field Device,Not Specified,Not Specified,Building Automation and Controls,cd538228006b83b66974eb31894b3792efc390bf
T-7900 Strap-On Line Voltage Thermostat,Johnson Controls,Line Voltage Thermostat,"T-7900-1, T-7900-3",Not Specified,Building Automation and Controls,c3ed8caaff0cccaa61fea6473d4dabab08128be9
W1LC,YORK,Reciprocating,Not Specified,Not Specified,Chillers,8c65adfea960eb3349b4c8ffa783e0165710aa77
VCB,YORK,Condensing Unit,Not Specified,Not Specified,Chillers,fac863170b053a87ae8f5b332cb9c0abc26782c7
LCHWC,YORK,Reciprocating,Not Specified,Not Specified,Chillers,7c6c029c9c1fe1b010b6bb69756eed0f32089da7
V-9999-660,Johnson Controls,Flanged Globe or Ball Valve and Actuator,"V-9999-660, V-9999-661",Not Specified,Building Automation and Controls,78a2794a686fe0e3c4c57b6a9aa8ec9b129b3b59
V-9999-661,Johnson Controls,Flanged Globe or Ball Valve and Actuator,"V-9999-660, V-9999-661",Not Specified,Building Automation and Controls,8b8e5bfc2567db97777e2685d85ce0cbe920ad96
YCUJ,YORK,Condensing Unit,Not Specified,Not Specified,Chillers,ce6e5c26ac3a88ae70f4c84cbe35a0d82085a5e4
YCR,YORK,Reciprocating,Not Specified,Not Specified,Chillers,25be766dff527552968dcc7c5f132ea0e5704360
YCW,YORK,Reciprocating,Not Specified,Not Specified,Chillers,4134aa8f5dbac623c4b838fd6f3893d893403b81
LVR27A-602,Johnson Controls,Electric Actuator,LVR27A-602,Not Specified,Building Automation and Controls,9f53520d0118cedac1b25002d4343eeb29dd37c5
ESC,YORK,Absorption,Not Specified,Not Specified,Chillers,51c0ba1d4581a6b99ffc3a0cf943f054440be20c
ESE,YORK,Absorption,Not Specified,Not Specified,Chillers,062fe4c6a9cb68ae901bed85003f8fac471b7235
T26 Line Voltage Thermostat,Johnson Controls,Line Voltage Thermostat,"PLT333-12R, PLT333-1R, PLT333-2R, PLT333-3R, PLT333-4R, PLT333-5R, PLT333-6R, PLT333-9R",Not Specified,Building Automation and Controls,e55ae96bef377aa05be799fc88579156febe7083
YCA,YORK,Reciprocating,Not Specified,Not Specified,Chillers,84f2a169baaae4640e854cb60829fe4c35b92c46
PQ-1001 Damper Position Indicator,Johnson Controls,Damper Parts and Accessories,"PQ-1001-3, PQ-1001-4",Not Specified,Building Automation and Controls,4d2bad2a5d2bdb48b0352dfc6be53f6da7f0d208
Damper Application Engineering,Johnson Controls,Damper Parts and Accessories,Not Specified,Not Specified,Building Automation and Controls,51d7c69cade7fbaa5d0d50f10f3f04ac20bd43d2
LCHAC,YORK,Reciprocating,Not Specified,Not Specified,Chillers,d2ddec76c1fc4e3a33da60c5f34eb79610e7eac5
LCH,YORK,Reciprocating,Not Specified,Not Specified,Chillers,d116b110b5a7b027f02d0a20ef89195ef7cdf4ff
VCR,YORK,Reciprocating,Not Specified,Not Specified,Chillers,c3c7c60e7145389a60eea7bf06163605d7005c27
T58 Low Voltage Thermostat,Johnson Controls,"Line Voltage Thermostat, Low Voltage Thermostat","T58EA-12C, T58EA-1C, T58EA-1S, T58EA-8C",Not Specified,Building Automation and Controls,d2d9d6d71ef0cebbb042c98be6c727c1e6520d9d
