topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,brand,product_category,product_code,product_series,business,maps_link,breadcrumb,product_name
SGC Rotary Screw Compressors IOM (1913-3524),SGC Rotary Screw Compressors IOM (1913-3524),070.650-IOM,Not Specified,2009-10 ,2009-10 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Hms4t9ygAzAFnmWRkLfwFA,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,SGC
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGCB 3515, SGXH 3519, SGXB 3519, SGC 2313, SGC 2317, SGC 2824, SGCB 3511, SGCH 3519, SGCB 3519, SGC 1918, SGXB 3524, SGC 2321, SGXH 4013, SGC 1913, SGCH 3515, SGC 2817, SGXH 4018, SGXH 4021, SGC 2813, SGCH 3511, SGC 2821 ",Not Specified,Industrial Refrigeration,None,,SGC
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGCB 3515, SGXH 3519, SGXB 3519, SGC 2313, SGC 2317, SGC 2824, SGCB 3511, SGCH 3519, SGCB 3519, SGC 1918, SGXB 3524, SGC 2321, SGXH 4013, SGC 1913, SGCH 3515, SGC 2817, SGXH 4018, SGXH 4021, SGC 2813, SGCH 3511, SGC 2821 ",Not Specified,Industrial Refrigeration,None,,SGCB
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGCB 3515, SGXH 3519, SGXB 3519, SGC 2313, SGC 2317, SGC 2824, SGCB 3511, SGCH 3519, SGCB 3519, SGC 1918, SGXB 3524, SGC 2321, SGXH 4013, SGC 1913, SGCH 3515, SGC 2817, SGXH 4018, SGXH 4021, SGC 2813, SGCH 3511, SGC 2821 ",Not Specified,Industrial Refrigeration,None,,SGCH
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGCB 3515, SGXH 3519, SGXB 3519, SGC 2313, SGC 2317, SGC 2824, SGCB 3511, SGCH 3519, SGCB 3519, SGC 1918, SGXB 3524, SGC 2321, SGXH 4013, SGC 1913, SGCH 3515, SGC 2817, SGXH 4018, SGXH 4021, SGC 2813, SGCH 3511, SGC 2821 ",Not Specified,Industrial Refrigeration,None,,SGX
"TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)","TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)",070.250-IOM,Not Specified,2011-04,2011-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/aCyIXTI7NH0IsOu~AJHIXA,FRICK,Compressor,"408XL, 408S, 408L",Not Specified,Industrial Refrigeration,None,,TDSB
"TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)","TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)",070.250-IOM,Not Specified,2011-04,2011-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/aCyIXTI7NH0IsOu~AJHIXA,FRICK,Compressor,"408XL, 408S, 408L",Not Specified,Industrial Refrigeration,None,,TDSH
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,FRICK,Compressor,"TDSH 355L, TDSB355U, TDSH 355XL, TDSL 193S, TDSL 283L, TDSL 193L, TDSH 233L, TDSH 283SX, TDSH 233S, TDSH 233XL, TDSH 193L, TDSL 233S, TDSL 283S, TDSH 283S, TDSH 163L, TDSL 233L, TDSH 355S, TDSH 193S, TDSB 355S, TDSB 355L, TDSH 283L, TDSB 355XL, TDSH 163S",Not Specified,Industrial Refrigeration,None,,TDSB
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,FRICK,Compressor,"TDSH 355L, TDSB355U, TDSH 355XL, TDSL 193S, TDSL 283L, TDSL 193L, TDSH 233L, TDSH 283SX, TDSH 233S, TDSH 233XL, TDSH 193L, TDSL 233S, TDSL 283S, TDSH 283S, TDSH 163L, TDSL 233L, TDSH 355S, TDSH 193S, TDSB 355S, TDSB 355L, TDSH 283L, TDSB 355XL, TDSH 163S",Not Specified,Industrial Refrigeration,None,,TDSH
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,FRICK,Compressor,"TDSH 355L, TDSB355U, TDSH 355XL, TDSL 193S, TDSL 283L, TDSL 193L, TDSH 233L, TDSH 283SX, TDSH 233S, TDSH 233XL, TDSH 193L, TDSL 233S, TDSL 283S, TDSH 283S, TDSH 163L, TDSL 233L, TDSH 355S, TDSH 193S, TDSB 355S, TDSB 355L, TDSH 283L, TDSB 355XL, TDSH 163S",Not Specified,Industrial Refrigeration,None,,TDSL
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,FRICK,Compressor,"TDSH 233S, TDSH 283L, TDSH 193L, TDXH 355XL, TDXH 355S, TDXH 408L, TDXH 408XL, TDSH 233L, TDXB 355S, TDXH 355L, TDSH 283S, TDSH 163L, TDSH 233XL, TDXB 355U, TDSH 283SX, TDXH 408S, TDXB 355L, TDSH 163S, TDXB 355XL, TDSH 193S",Not Specified,Industrial Refrigeration,None,,TDSH
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,FRICK,Compressor,"TDSH 233S, TDSH 283L, TDSH 193L, TDXH 355XL, TDXH 355S, TDXH 408L, TDXH 408XL, TDSH 233L, TDXB 355S, TDXH 355L, TDSH 283S, TDSH 163L, TDSH 233XL, TDXB 355U, TDSH 283SX, TDXH 408S, TDXB 355L, TDSH 163S, TDXB 355XL, TDSH 193S",Not Specified,Industrial Refrigeration,None,,TDXB
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,FRICK,Compressor,"TDSH 233S, TDSH 283L, TDSH 193L, TDXH 355XL, TDXH 355S, TDXH 408L, TDXH 408XL, TDSH 233L, TDXB 355S, TDXH 355L, TDSH 283S, TDSH 163L, TDSH 233XL, TDXB 355U, TDSH 283SX, TDXH 408S, TDXB 355L, TDSH 163S, TDXB 355XL, TDSH 193S",Not Specified,Industrial Refrigeration,None,,TDXH
TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),070.500-SPC,Not Specified,2012-01 ,2012-01 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/cRoNVHW7p~eUdx0uebRk6g,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,PDSH
TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),070.500-SPC,Not Specified,2012-01 ,2012-01 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/cRoNVHW7p~eUdx0uebRk6g,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,TDSH
"XJF IOM (95, 120, and 151)","XJF IOM (95, 120, and 151)",070.450-IOM,Not Specified,2013-11,2013-11,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/CrRpJ3kIFbd6qgNKTLYqrg,FRICK,Compressor,"XJF 151N, 120M, XJF 151A, XJF 151L, 95M, 95L, 95S, XJF 151M, 120L, 120S",Not Specified,Industrial Refrigeration,None,,XJF
"XJF IOM (95, 120, and 151)","XJF IOM (95, 120, and 151)",070.450-IOM,Not Specified,2013-11,2013-11,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/CrRpJ3kIFbd6qgNKTLYqrg,FRICK,Compressor,"XJF 151N, 120M, XJF 151A, XJF 151L, 95M, 95L, 95S, XJF 151M, 120L, 120S",Not Specified,Industrial Refrigeration,None,,XJS
XJF Rotary Screw Compressor SPC (151X),XJF Rotary Screw Compressor SPC (151X),070.455-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/dQiUkeXqaWQce9e7ftYicA,FRICK,Compressor,"151XP, 151XR, 151XQ, 151XS, 151XT ",Not Specified,Industrial Refrigeration,None,,XJF
XJS/XJF Rotary Screw Compressor SPC (95-151),XJS/XJF Rotary Screw Compressor SPC (95-151),070.510-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Gxg8nbGf8muRmgpjFoI71A,FRICK,Compressor,"XJF 151N, 120M, XJF 151A, XJF 151L, 95M, 95L, 95S, XJF 151M, 120L, 120S ",Not Specified,Industrial Refrigeration,None,,XJF
XJS/XJF Rotary Screw Compressor SPC (95-151),XJS/XJF Rotary Screw Compressor SPC (95-151),070.510-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Gxg8nbGf8muRmgpjFoI71A,FRICK,Compressor,"XJF 151N, 120M, XJF 151A, XJF 151L, 95M, 95L, 95S, XJF 151M, 120L, 120S ",Not Specified,Industrial Refrigeration,None,,XJS
AcuAir Distribution Accessories SPC,AcuAir Distribution Accessories SPC,210.200-SPC2,Not Specified,Not Specified,2015-10,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/IrxHjRvmO0KWYNb0k5hs2g,FRICK,Hygienic Air Handler,"FS-07, FS-50, FS-60, FS-10, FS-20, FS-40, FS-30, FS-25, FS-01, FS-05, FS-35, FS-15, FS-03",Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Distribution Accessories SPC,AcuAir Distribution Accessories SPC,210.200-SPC2,Not Specified,Not Specified,2015-10,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/IrxHjRvmO0KWYNb0k5hs2g,FRICK,Hygienic Air Handler,"FS-07, FS-50, FS-60, FS-10, FS-20, FS-40, FS-30, FS-25, FS-01, FS-05, FS-35, FS-15, FS-03",Not Specified,Industrial Refrigeration,None,,Air Diffuser
AcuAir Food Grade Series SPC,AcuAir Food Grade Series SPC,210.210-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/~szOCIHYB9h_hB4TfDrrdQ,FRICK,Hygienic Air Handler,"YC-AA-F-07, YC-AA-F-50, YC-AA-F-40, YC-AA-F-30, YC-AA-F-20, YC-AA-F-10, YC-AA-F-80, YC-AA-F-70, YC-AA-F-15, YC-AA-F-60",Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Food Grade Series SPC,AcuAir Food Grade Series SPC,210.210-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/~szOCIHYB9h_hB4TfDrrdQ,FRICK,Hygienic Air Handler,"YC-AA-F-07, YC-AA-F-50, YC-AA-F-40, YC-AA-F-30, YC-AA-F-20, YC-AA-F-10, YC-AA-F-80, YC-AA-F-70, YC-AA-F-15, YC-AA-F-60",Not Specified,Industrial Refrigeration,None,,Food Grade Series
AcuAir Fully Welded Supply Air Diffusers SPC,AcuAir Fully Welded Supply Air Diffusers SPC,210.230-SPC1,Not Specified,Not Specified,2018-02,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/2Akh9pp_w_na2SwNZvejlQ,FRICK,Hygienic Air Handler,"WFS-6539, WFS-4535, WFS-6547, WFS-4517, WFS-6527, WFS-6531, WFS-2510, WFS-1508, WFS-1506, WFS-2515, WFS-4529, WFS-4523, WFS-2520, WFS-1512",Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Fully Welded Supply Air Diffusers SPC,AcuAir Fully Welded Supply Air Diffusers SPC,210.230-SPC1,Not Specified,Not Specified,2018-02,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/2Akh9pp_w_na2SwNZvejlQ,FRICK,Hygienic Air Handler,"WFS-6539, WFS-4535, WFS-6547, WFS-4517, WFS-6527, WFS-6531, WFS-2510, WFS-1508, WFS-1506, WFS-2515, WFS-4529, WFS-4523, WFS-2520, WFS-1512",Not Specified,Industrial Refrigeration,None,,Air Diffuser
AcuAir Hygienic Air Handling IOM,AcuAir Hygienic Air Handling IOM,210.100-IOM,Not Specified,Not Specified,2018-07,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/4DA73NJdo5KDyvJq7yq59A,FRICK,Hygienic Air Handler,Not Specified,Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Performance Series Makeup Air Units SPC,AcuAir Performance Series Makeup Air Units SPC,210.205-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/3biGAnAQipZ6iqRvjBY9WA,FRICK,Hygienic Air Handler,"YC-AA-P-20-MA, YC-AA-P-50-MA, YC-AA-P-30-MA, YC-AA-P-70-MA, YC-AA-P-15-MA, YC-AA-P-05-MA, YC-AA-P-10-MA, YC-AA-P-60-MA, YC-AA-P-03-MA, YC-AA-P-40-MA, YC-AA-P-07-MA",Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Performance Series Makeup Air Units SPC,AcuAir Performance Series Makeup Air Units SPC,210.205-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/3biGAnAQipZ6iqRvjBY9WA,FRICK,Hygienic Air Handler,"YC-AA-P-20-MA, YC-AA-P-50-MA, YC-AA-P-30-MA, YC-AA-P-70-MA, YC-AA-P-15-MA, YC-AA-P-05-MA, YC-AA-P-10-MA, YC-AA-P-60-MA, YC-AA-P-03-MA, YC-AA-P-40-MA, YC-AA-P-07-MA",Not Specified,Industrial Refrigeration,None,,Makeup Air Unit
AcuAir Performance Series SPC,AcuAir Performance Series SPC,210.200-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/5nnEnOq5hESCaFlr0M6m0g,FRICK,Hygienic Air Handler,"YC-AA-P-20, YC-AA-P-40, YC-AA-P-07, YC-AA-P-15, YC-AA-P-30, YC-AA-P-80, YC-AA-P-10, YC-AA-P-50, YC-AA-P-70, YC-AA-P-60",Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Quantum LX CS - Ver. 3.0x,AcuAir Quantum LX CS - Ver. 3.0x,090.510-CS,Not Specified,2010-10 ,2010-10 ,Communications Setup Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/~sjJwC990PwnCbuQRXZljg,FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Quantum LX CS - Ver. 3.0x,AcuAir Quantum LX CS - Ver. 3.0x,090.510-CS,Not Specified,2010-10 ,2010-10 ,Communications Setup Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/~sjJwC990PwnCbuQRXZljg,FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,,Quantum LX
AcuAir Quantum LX M - Ver. 3.0x,AcuAir Quantum LX M - Ver. 3.0x,090.510-M,Not Specified,2010-10 ,2010-10 ,Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/rCIOVzrdjowMs23VSbThYQ,FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Quantum LX M - Ver. 3.0x,AcuAir Quantum LX M - Ver. 3.0x,090.510-M,Not Specified,2010-10 ,2010-10 ,Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/rCIOVzrdjowMs23VSbThYQ,FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,,Quantum LX
AcuAir Quantum LX O - Ver. 3.2x,AcuAir Quantum LX O - Ver. 3.2x,090.510-O,Not Specified,2013-09 ,2013-09 ,Operation Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/Ty96SAiqRqDrns1vDw~XJA,FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,,AcuAir
AcuAir Quantum LX O - Ver. 3.2x,AcuAir Quantum LX O - Ver. 3.2x,090.510-O,Not Specified,2013-09 ,2013-09 ,Operation Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/Ty96SAiqRqDrns1vDw~XJA,FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,,Quantum LX
