document_title,document_number,document_part_number,document_version,document_revision,document_type,document_created_at,document_last_edition,document_last_publication,document_revised_modified,brand,document_link,maps_link,product_identifier,document_identifier
Metasys Server Installation and Upgrade Instructions,LIT-12012162,LIT-12012162,10.1,Not Specified,Installation Guide,2018-12-20,2020-03-05,2020-03-06,2020-03-05,Metasys,/reader/xJExbe4vX00gwDqTRdo4rg/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/xJExbe4vX00gwDqTRdo4rg,9d743273c2a1166658e2a2554a5d62c72c3adef7,c2cb087e0249c3815f44b350bb63eed268132775
Companion User Guide,LIT-12013272,LIT-12013272,2.0,Not Specified,User Guide,2019-03-18,2020-03-12,2020-03-13,2020-03-12,Johnson Controls,/reader/3VBTfO7h04KnJ~UvvyDgrA/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/3VBTfO7h04KnJ~UvvyDgrA,0164b2c3a71a8d877dd4af7c428240a849edd02b,4326289959a0c0ad6c4aa12efc73c0bc7e21e623
Companion Desk Reservation Kiosk User Guide,LIT-12013273,LIT-12013273,2.0,Not Specified,User Guide,2019-03-18,2020-03-18,2020-03-18,2020-03-18,Johnson Controls,/reader/7YQbbioyN8c3Twgis6TLwQ/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/7YQbbioyN8c3Twgis6TLwQ,0164b2c3a71a8d877dd4af7c428240a849edd02b,dc21f9efa7b2862b17e76f21fb52a4b48a31c9ad
SNC Commissioning Guide,LIT-12013295,LIT-12013295,10.1,Not Specified,Not Specified,2019-04-24,2020-03-06,2020-03-05,2020-03-06,Metasys,/reader/IjjcxCOlMJes7V3NGUOOug/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/IjjcxCOlMJes7V3NGUOOug,856f6f6f3dc64c34cc27ec94dd842e0a7f743e95,f2fbaac9958e8c50be62bd17fa540de2965089c3
PENN Connected E10 Temperature Sensor Catalog Page,LIT-1901118,LIT-1901118,Not Specified,Not Specified,Catalog Page,2019-05-20,2020-03-03,2020-03-05,2020-03-03,PENN Controls,/reader/6H28Rvw~bGytw3rCDidZ2g/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/6H28Rvw~bGytw3rCDidZ2g,0e5cab613354f1e12ea15065c8a90ba3b117d50e,604e3acf9398ff25f573d59b89654a812a077468
PENN Connected E11 Temperature Sensor Catalog Page,LIT-1901119,LIT-1901119,Not Specified,Not Specified,Catalog Page,2019-05-21,2020-03-03,2020-03-03,2020-03-03,PENN Controls,/reader/MzpuhwHVlAE2KzayrWfxUw/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/MzpuhwHVlAE2KzayrWfxUw,ec910a6280662bde58623f2e45a14347758ab144,169c3baafde82b1a55b262677f0b4686cac6084c
PENN Connected R10 Repeater Catalog Page,LIT-1901120,LIT-1901120,Not Specified,Not Specified,Catalog Page,2019-05-22,2020-03-03,2020-03-03,2020-03-03,PENN Controls,/reader/GmFH7FMIQ3h9tRUvp~EmtQ/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/GmFH7FMIQ3h9tRUvp~EmtQ,05502f713cd637a6280ff06a5ef06b1c58843547,2bc0124f25cd7b5e0ed8bfbe598e35ab7f1b1697
PENN Connected C20 Gateway Catalog Page,LIT-1901121,LIT-1901121,Not Specified,Not Specified,Catalog Page,2019-05-24,2020-03-03,2020-03-03,2020-03-03,PENN Controls,/reader/05xSdbqmBv4czTBsYKEzdw/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/05xSdbqmBv4czTBsYKEzdw,f3a38050ce13fbf0f2db383a476a0fed951ece37,d2e9e0d809a1c3baa0896bfa3d7e59405201a36e
PENN Connected PC10 Commissioning Guide,LIT-12013314,LIT-12013314,Not Specified,Not Specified,Commissioning Guide,2019-06-07,2020-03-03,2020-03-03,2020-03-03,PENN Controls,/reader/F7lhg_s58ArKM6dAw1z3Dw/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/F7lhg_s58ArKM6dAw1z3Dw,0c932d764480b5ddb46fce48c11619d3217e6025,6fe9d097d3faa48e79c6430be4fd1b6ca595eac6
PENN Connected E61 Door Sensor Catalog Page,LIT-1901127,LIT-1901127,Not Specified,Not Specified,Catalog Page,2019-07-10,2020-03-03,2020-03-03,2020-03-03,PENN Controls,/reader/CwNwZhU5E73UhjHLU7e4VA/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/CwNwZhU5E73UhjHLU7e4VA,4a482fa1a5df55ebfacebabe95a4f015792fddc1,25b11ea350cf434ee1ba254e7415cb6e3486d7d2
PENN Connected C40 Gateway Catalog Page,LIT-1901128,LIT-1901128,Not Specified,Not Specified,Catalog Page,2019-08-07,2020-03-12,2020-03-12,2020-03-12,PENN Controls,/reader/8mphFIcmpowl~KTloEz3tw/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/8mphFIcmpowl~KTloEz3tw,0b318f940e5117dd90528f0cf0d9736be32a83cb,3b0689f28c2d16c06226b629beb95075667bdb76
Network Engine Commissioning for Modbus Vendor Integration Application Note,LIT-12013150,LIT-12013150,"10.1, 9.0.7",Not Specified,Application Note,2020-02-28,2020-03-03,2020-03-03,2020-03-03,Metasys,/reader/LtA52bZK96qUdjzuSrc3RQ/root,https://johnsoncontrols.fluidtopics.net/api/khub/maps/LtA52bZK96qUdjzuSrc3RQ,ea781dbdb5a10ae8c974527e1b4d11603796bd70,76b22c1213964efbad73a0e44a9dd53d116eabd3
4100ES Network Display Units with SPS Power Supplies for ES Net,AC4100-0077,AC4100-0077,Not Specified,6,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/OtCVQcZR_sv2rOW1kTHeXA,None,eef1a9f127eee96732626b0f7e1c0d220a5c9263,5fb58b10cdbd431ec2eea90b7f32e6879fd00d97
Fire Alarm Network Annunciators;TrueSite Incident Commander; Version 5.04,AC4190-0020,AC4190-0020,Not Specified,17,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/SgDZpRbidS6C5aZu~xv7XA,None,cca646787b4493a6e650b5253d35d5154c80f106,ce47f42829ac8235faf911dde8f6a6a54684ac2c
Fire Alarm Network Annunciators; TrueSite Incident Commander Graphic Annunciator; Version 5.04,AC4190-0023,AC4190-0023,Not Specified,12,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/fjyUMJLPayW_4p1mf6HZmA,None,8ef11a1de50810fe860e0d26744dc24c3c5b60d8,7c022201546e5c170cf61b407ef00c6231331d40
Fire Alarm Network Annunciators; Fire Alarm Ethernet Switches,AC4190-0018,AC4190-0018,Not Specified,8,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/CKhHYkebspCuYGPdolYToA,None,84e809d10b92aeda4a0abb7efd1360aca9ea3942,a1d863fcc460769ec71687b031681c2e60b010aa
Fire Alarm Network Annunciators TrueSite Workstations; Version 5.04,AC4190-0016,AC4190-0016,Not Specified,42,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/NO33w9Ngdv2fwpiY_qNuvg,None,f63d03906aa8452f7daa736e7aa3e06e5e8aabb6,633c209fcd86db4285bff6044c669b55113927d9
Fire Alarm Network Annunciators TrueSite Graphic Annunciator; Version 5.04,AC4190-0022,AC4190-0022,Not Specified,18,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/fDJhzbTZ5cVXOsGCq_aRQQ,None,8ef11a1de50810fe860e0d26744dc24c3c5b60d8,b00b085deb4d293d1f713d714fb49e3a7fed6f30
"ES Net Network Applications, Communications, Options and Specifications",AC4100-0076,AC4100-0076,Not Specified,6,Datasheet,2020-03-01,2020-03-01,2020-03-01,2020-03-01,Autocall,/viewer/document/mawfeQOWiVzP25fs80nklA,None,482f8c2d4793a868abb17d48e44812802783bef5,15de0460560a04091b783746a343f34e4504f8eb
"CYK, YD, YK, YK-EP, YST, and YT Centrifugal Chiller Coupling Alignment for D-Flange Coupling Alignment, Compressor",SI0206,SI0206,Not Specified,320,Service Information Letter,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/hy8Qc6rgyplsfbIvVU9oTg,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,d4c4e997929873b4bd73485ac643717e606750b8
PWRPNL-3 and PWRPNL-5 Panels Catalog Page,LIT-1901083,LIT-1901083,Not Specified,Not Specified,Catalog Page,2020-03-02,2020-03-02,2020-03-02,2020-03-02,Johnson Controls,/viewer/document/_IkVrEoARyaxzPkYbhbKyQ,None,aca418135ff7fd062d0ed85796b801897b67c384,75f98ec7ecd43177b6be7bba3bdc6d244cd22b5e
"CYK, YD, YK, YK-EP, YST, and YT Centrifugal Chiller Coupling Alignment for D-Flange Coupling Alignment, Compressor",SI0206,SI0206,Not Specified,320,Service Information Letter,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/hy8Qc6rgyplsfbIvVU9oTg,None,c77ab7c787c2f9c3a6493e1fe27fd2876821de6f,06e2a10cf5353306c5c49bde68e620ac1d2885e6
"CYK, YD, YK, YK-EP, YST, and YT Centrifugal Chiller Coupling Alignment for D-Flange Coupling Alignment, Compressor",SI0206,SI0206,Not Specified,320,Service Information Letter,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/hy8Qc6rgyplsfbIvVU9oTg,None,bf41da49e5ab4c76189ad8a2e306767b3364d74f,39316078dbce973a51b0cf40c30a2fc2a14e3a12
YLAA Style A and B Startup Checklist,150.72-CL1,150.72-CL1,Not Specified,320,Checklist,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/oPDcJY15uZCQ0_WA_iz~GQ,None,10fee30acd6437fb3f0444edc044e3b87dcd84a7,96d7439d2b6ead13695430d622457598ec31dfc7
"CYK, YD, YK, YK-EP, YST, and YT Centrifugal Chiller Coupling Alignment for D-Flange Coupling Alignment, Compressor",SI0206,SI0206,Not Specified,320,Service Information Letter,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/hy8Qc6rgyplsfbIvVU9oTg,None,e3c649366b08d4e34d3be45cf404d01cd26d879a,0ec7399e0df5f279223be1263d42e1df071dcbcf
"CYK, YD, YK, YK-EP, YST, and YT Centrifugal Chiller Coupling Alignment for D-Flange Coupling Alignment, Compressor",SI0206,SI0206,Not Specified,320,Service Information Letter,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/hy8Qc6rgyplsfbIvVU9oTg,None,4644afe693f5f7a10c84113bc95741d0469aa071,25d719d39a793ffb3dccb7ccedd6d1d51531b5aa
"CYK, YD, YK, YK-EP, YST, and YT Centrifugal Chiller Coupling Alignment for D-Flange Coupling Alignment, Compressor",SI0206,SI0206,Not Specified,320,Service Information Letter,2020-03-02,2020-03-02,2020-03-02,2020-03-02,YORK,/viewer/document/hy8Qc6rgyplsfbIvVU9oTg,None,0eeecd07cdffe03a35058b45b54423e0c2521f8b,2d4831d2e6a29ec949c06e9aceac662e1d3be8b2
"YK, YT, YD, YS, CYK, YKEP with Electric Drive Motors - York Chiller Motor Re-lubrication Instruction with Grease Lubricated Bearings (SI0305)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3kZ6hk41EMPKHrCpN4Iuig,None,e3c649366b08d4e34d3be45cf404d01cd26d879a,1262471f7f7e3ec91f426f5184b7f07a3586251f
"YK, YT, YD, YS, CYK, YKEP with Electric Drive Motors - York Chiller Motor Re-lubrication Instruction with Grease Lubricated Bearings (SI0305)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3kZ6hk41EMPKHrCpN4Iuig,None,7f0c0b95a76e16a608235188fbadea027bf8d2f9,00f0a689f4d3476ce6756f8b8ac0909ea12bd261
"YK, YT, YD, YS, CYK, YKEP with Electric Drive Motors - York Chiller Motor Re-lubrication Instruction with Grease Lubricated Bearings (SI0305)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3kZ6hk41EMPKHrCpN4Iuig,None,0eeecd07cdffe03a35058b45b54423e0c2521f8b,e32c2f9ad9f76a1295bcbb1189a1016ed4d4c1b7
"YK, YT, YD, YS, CYK, YKEP with Electric Drive Motors - York Chiller Motor Re-lubrication Instruction with Grease Lubricated Bearings (SI0305)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3kZ6hk41EMPKHrCpN4Iuig,None,962cdf658e56f64cadf8c82c4f66da091b2baa99,4189270add62bfd479334928f0d8cede806148f1
"YK, YT, YD, YS, CYK, YKEP with Electric Drive Motors - York Chiller Motor Re-lubrication Instruction with Grease Lubricated Bearings (SI0305)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3kZ6hk41EMPKHrCpN4Iuig,None,bf41da49e5ab4c76189ad8a2e306767b3364d74f,9ac392c24e8d0d997b1e8990971f388fe74a127c
"YK, YT Optiview Retrofit VSD (SI0027)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/HEG_UFfD5Z87oT6i10d7RA,None,fc6e4fcd22640374c15ef0e8ae93c4a5f0bdcb9c,ac91366e20ca9c0c634d82945f2b8acada9a4267
"YK, YT Optiview Retrofit VSD (SI0027)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/HEG_UFfD5Z87oT6i10d7RA,None,bf41da49e5ab4c76189ad8a2e306767b3364d74f,8eec1198fc5dedf428014c750d80ec8188d1ceed
"YK, YT Optiview Retrofit (SI0028)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/pM_VpzwIn59kXBHU~k1lyA,None,8199cd9e8049ca8a162fce4fcfb0157265a5b1d1,db3da965e87c99a01c12a5473937eabea2993ebd
"YK, YT Chillers - Motor Qualification for Aftermarket MV VSD Application (SI0192)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/lEBL4JhzYZ8wKOTsaWpUZg,None,02bc58ea28a565380e7fc6fb8703780bb037172e,f4e9f9c2c15a34cdd4d3da7d6cbbbbe37b351c54
"YK, YT Chillers - Motor Qualification for Aftermarket MV VSD Application (SI0192)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/lEBL4JhzYZ8wKOTsaWpUZg,None,bf41da49e5ab4c76189ad8a2e306767b3364d74f,e611d195abce4537d9a890e2e34bc2fc2b2764c0
"YK, YS, YT, YIA, YPC, 1 x 40 Single Line Micropanel Vacuum Fluorescent Display Replacement Service Information Letter (SI0247)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/jmwg8f~~gq1zKvvap9K64g,None,b1d4ab5292166a0063f0d71ba1ca8bd230dc4b37,8c2fde80549086c3abe4b85c02b4cbf3bc000c66
"YK, YS & YR Chillers- Minimum Storage Temperature for Charged Chillers (SI0184)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/NdURyKr1EU6Gbeke2dGNdQ,None,935477948ce3ad3636655beadece241925aae5f8,dac8a5d613b92775dca835cc4fe888ea54565377
"YK, YT, YD, YS, CYK, YKEP with Electric Drive Motors - York Chiller Motor Re-lubrication Instruction with Grease Lubricated Bearings (SI0305)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/3kZ6hk41EMPKHrCpN4Iuig,None,b67dba3769a4b215eb5e9c81fa237d3005262c43,8025e38d946c68c5f86dbcc7d13f80988c6d74c7
"YK, YR & YS SSS Style ""B"" Communications Failure and Bad History Data (SI0191)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/kjSyeptrVfEH70Ybx3VqzA,None,935477948ce3ad3636655beadece241925aae5f8,36abae6e27a48b43118c0d06dfc15d972f8ee709
"YK, YT Optiview Retrofit (SI0028)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/pM_VpzwIn59kXBHU~k1lyA,None,bf41da49e5ab4c76189ad8a2e306767b3364d74f,d0ab8cbbc6d6749d4fa47797b5d1f26392072446
"YK, YT, YS, YR & YD Chillers with OptiView Control Center Replacement Microboards (SI0160)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/8wzIGNGPxLSO4weBR4a85A,None,935477948ce3ad3636655beadece241925aae5f8,3f403ebc154a2ee1b76cd5a98460d07511f2371a
YLAA ZRC Coating Evaluation on MCHX Coils Service Information Letter (SI0388),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/B1M_LrsIxAc9X2vxsiBNzg,None,160f6407a8ba69db675149874004a87b48049c8b,e85646aa42b4152f69c8cdf6c4dbf20a78975c48
YKEP V02 03630 Optiview Control Panel Software Release Service Information Letter (SI0384),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/MWnohm7F4inJGn8jx62PNA,None,1843988ebae64e810e7687d6c3bbac8aa29a9d1b,78a01f4eba2b1522b6a4f98cd1471f95eab44378
"YLAA, YVAA, YVWA Thermal Flow Switch Installation Service Information (SI0380)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/B~p6wkHv0AhLFB6n48W2fw,None,90425fd09b80050fa5effd42da03bc9583315954,87a838f32c8972dac43eed23c7870774f41c6021
"YLAA, YVAA Microchannel Coil Segment Preparation for Analysis (SI0297)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ZvhcLtaII~cU7SiV9nB~ow,None,e2bb73e972ce5f31693043f76754cc8b58100ead,2d21e3b1fb11eb46b0f510fbf0a3155b01072377
"YLAA, YVAA Microchannel Coil Segment Preparation for Analysis (SI0297)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ZvhcLtaII~cU7SiV9nB~ow,None,10fee30acd6437fb3f0444edc044e3b87dcd84a7,1fc925a8bd08a3f40b1761db4b55c5f6fb533c23
"YLAA, YLUA, YCAL, and YCUL Retrofit Instructions for Replacing a VFD66 condenser Fan Drive with the ABB ACS255 Condenser Fan Drive (SI0391)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ib4MgRG7UVHYB8WHKg3thQ,None,94eab84d3cd97b238fae4e7b03d49de187ed522e,dd33ab03539e041ac616f7962de482004e3547c6
"YLAA, YLUA, YCAL, and YCUL Retrofit Instructions for Replacing a VFD66 condenser Fan Drive with the ABB ACS255 Condenser Fan Drive (SI0391)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ib4MgRG7UVHYB8WHKg3thQ,None,0f3304f2c6573ab38fdfcbb1fed2288921079d11,b184633dd1ab8e2f1285ff6e52fe70111adc2bd7
"YLAA, YLUA, YCAL, and YCUL Retrofit Instructions for Replacing a VFD66 condenser Fan Drive with the ABB ACS255 Condenser Fan Drive (SI0391)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/ib4MgRG7UVHYB8WHKg3thQ,None,10fee30acd6437fb3f0444edc044e3b87dcd84a7,896ac9fdce63199828e0e4f2c5aa691369d01fb4
YKEP V01 03630 Optiview Control Panel Software Modifications Service Information Letter (SI0336),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/xSqwwwwepPRwINw2DzoonA,None,adbb4c41d9b6b056ae5ca1948a0bbb09c6d0ef65,de3e726ccffd268432780879415c46e80bdb3d85
"YLAA, YCWL Sporlan (Parker) EEV Controller and Valves (SI0333)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/Y2VdLyaQbEMyA0HMiQaPMA,None,cc27088bc8f79737d139ae9baf5e9f5c9ef86418,21296768fae3a6046c2ce02af89beaa18fbc299f
YLAA-YCUL-YCAL-YCWL-YLUA-YLPA-YCRL Flash Card Used In the 031-02550-XXX Control P.C.B.'s (SI0266),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/DY0fFBdIQ8xZ4j51d_DD~g,None,b7f4f3598c78d6a1d34193a0d76184ef01c0b82b,2fafa658381770d7376a96243b7074f1efd164bf
"YK, YIA, YPC, YS & YT Chillers Vacuum Fluorescent Display - Jumper Settings Service Information Letter (SI0151)",Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/I87shGkkI0tCQDuXwgYIZQ,None,b1d4ab5292166a0063f0d71ba1ca8bd230dc4b37,075bc394290044c21533c98bf78795c1f06acc2f
YLAA Scroll Compressor Sequencing Service Information Letter (SI0354),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/nr1~SIpO66fN3rTkKnbdDw,None,59d187bc9a8e7ebffaef79cb9d30897e19fbdd7b,38de272480104acb1744d7b80fbdd0ad6f61ba18
YLAA Scroll Compressor Motor Protector Mandatory Return Service Information Letter (SI0378),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/UB~wYoUMHcWHtzSXhbT5iA,None,8ada4529663fe23308dd3c93d41a1bdf2bfdc9ec,6531e1f680e0db1df05f3985f33eed6d12f28fa6
YLAA Bitzer BSD6 60Hz Scroll Compressor Noise & Vibration (SI0346),Not Specified,Not Specified,Not Specified,Not Specified,Not Specified,2020-03-03,2020-03-03,2020-03-03,2020-03-03,YORK,/viewer/document/iV3laMQieQgV4gNrD2XCZA,None,4b75dc38ae918cc1f377d034224860d3ec1b375d,1ad9747930f2e6465f8252e7d2758e872a51670f
