product_name,product_brand,product_category,product_code,product_series,product_part_number,business
Not Specified,PENN Controls,Single‐Phase Motor Speed Controller,"P315PR-9203C, P315PR-9203D, P315PR-9202C, P315, P315PR-9200c, P315PR-9200D, P315PR-9200C",P316,Not Specified,Building Automation and Controls
exacqVision Edge,Exacq,VMS Software,Not Specified,Not Specified,Not Specified,Not Specified
TrueAlert Multi-Candela Speaker/Visible S/V Appliances,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
SEC,Johnson Controls,Field Device,"SE-SPU1001-1, SE-SPU1004-0, SE-SPU1001-0, SE-SPU1011-0, SE-SPU1002-1, SE-COM1001-0, SE-SPU1012-1, SE-FDD1001-0, SE-SPU1004-1, SE-ECO1001-1, SE-SPU1012-0, SE-SPU1002-0, SE-FDD1001-1, SE-SPU1011-1, SE-ECO1001-0",Not Specified,Not Specified,Building Automation and Controls
PCA Control Panel,Facility Explorer,Control Panel,"PAYE00001AH4, PAYEZD002AH0, PAYE00002AH0, PAYEZB012BH0, PAYEZC002AH0, PAYF00011EH0, PAYE00011EH0, PAYE00011BH0, PAYEZD002BH4, PAYF00011BA0, PAYE00001BH0, PAYF00011EA0, PAYF00011BH0, PAYE00001FH4, PAYEZB002BH0, PAYEZD002BH0, PAYEZA001AH0, PAYE00001AH0, PAYEZB002AH0, PAYEZC012BH0, PAYEZA011BH0, PAYEZA001BH0, PAYEZC002BH0, PAYE00001BH4, PAYE00001FH0, PAYEZD012BH0, PAYF00001BH4, PAYEZE002BH0",Not Specified,Not Specified,Building Automation and Controls
PCX Control Panel,Facility Explorer,Control Panel,"PAYE00001AH4, PAYEZD002AH0, PAYE00002AH0, PAYEZB012BH0, PAYEZC002AH0, PAYF00011EH0, PAYE00011EH0, PAYE00011BH0, PAYEZD002BH4, PAYF00011BA0, PAYE00001BH0, PAYF00011EA0, PAYF00011BH0, PAYE00001FH4, PAYEZB002BH0, PAYEZD002BH0, PAYEZA001AH0, PAYE00001AH0, PAYEZB002AH0, PAYEZC012BH0, PAYEZA011BH0, PAYEZA001BH0, PAYEZC002BH0, PAYE00001BH4, PAYE00001FH0, PAYEZD012BH0, PAYF00001BH4, PAYEZE002BH0",Not Specified,Not Specified,Building Automation and Controls
YCWL,YORK,Scroll Water Cooled,Not Specified,Not Specified,Not Specified,Chillers
FAC Control Panel,Metasys,Control Panel,"SAKL00001F00, SAKLJK002B00, SAKLJH002A00, SAKLJJ002A00, SAKM00011E00, SAKLJH012B00, SAKLJJ002B00, SAKM00011B00, SAKL00001B00, SAKLJJ002B04, SAKLJG002B00, SAKL00011B00, SAKL00001B04, SAKL00011E00, SAKLJF001A00, SAKLJF011B00, SAKLJJ012B00, SAKLJG002A00, SAKL00001F04, SAKM00011B04, SAKLJG012B00, SAKLJF001B00, SAKL00001A00, SAKLJH002B00, SAKL00001A04, SAKL00002A00",Not Specified,Not Specified,Building Automation and Controls
IOM Control Panel,Metasys,Control Panel,"SAKL00001F00, SAKLJK002B00, SAKLJH002A00, SAKLJJ002A00, SAKM00011E00, SAKLJH012B00, SAKLJJ002B00, SAKM00011B00, SAKL00001B00, SAKLJJ002B04, SAKLJG002B00, SAKL00011B00, SAKL00001B04, SAKL00011E00, SAKLJF001A00, SAKLJF011B00, SAKLJJ012B00, SAKLJG002A00, SAKL00001F04, SAKM00011B04, SAKLJG012B00, SAKLJF001B00, SAKL00001A00, SAKLJH002B00, SAKL00001A04, SAKL00002A00",Not Specified,Not Specified,Building Automation and Controls
D-3153,Johnson Controls,Pneumatic Actuator,"D-3153-3G, D-9502-9, D-3153-701, D-3153-6, D-3153-608, D-3153-5120G, D-3153-6002, D-3153-110, D-3153-5130G, D-3153-2, D-3153-1, D-3153-6003, D-3153-3, D-3153-1G, D-3153-111, D-3153-5, D-3153-20, D-3153-112, D-3153-106, D-3153-104, D-3153-18, D-3153-103, D-3153-4, D-3153-4G, 2446599, D-3153-2G, D-3153-7, D-3153-12, D-3153-15",Not Specified,Not Specified,Building Automation and Controls
Damper Actuator,Johnson Controls,Pneumatic Actuator,"D-3153-3G, D-9502-9, D-3153-701, D-3153-6, D-3153-608, D-3153-5120G, D-3153-6002, D-3153-110, D-3153-5130G, D-3153-2, D-3153-1, D-3153-6003, D-3153-3, D-3153-1G, D-3153-111, D-3153-5, D-3153-20, D-3153-112, D-3153-106, D-3153-104, D-3153-18, D-3153-103, D-3153-4, D-3153-4G, 2446599, D-3153-2G, D-3153-7, D-3153-12, D-3153-15",Not Specified,Not Specified,Building Automation and Controls
D-3153,Johnson Controls,Pneumatic Actuator,"D-3153-1G, D-3153-3G, D-3153-5, D-3153-4, D-3153-4G, D-3153-6, D-3153-5130G, D-3153-6002, D-3153-20, D-3153-608, D-3153-2G, D-3153-7, D-3153-18, D-3153-15, D-3153-6003, D-3153, D-3153-3, D-3153-5120G",Not Specified,Not Specified,Building Automation and Controls
Damper Actuator,Johnson Controls,Pneumatic Actuator,"DS-3062-1, DS-3062, DS-3062-4263",Not Specified,Not Specified,Building Automation and Controls
DS-3062,Johnson Controls,Pneumatic Actuator,"DS-3062-1, DS-3062, DS-3062-4263",Not Specified,Not Specified,Building Automation and Controls
Damper Actuator,Johnson Controls,Pneumatic Actuator,"DS-3153-2, DS-3153-1, DS-3153-5, DS-3062-1",Not Specified,Not Specified,Building Automation and Controls
DS-3153,Johnson Controls,Pneumatic Actuator,"DS-3153-2, DS-3153-1, DS-3153-5, DS-3062-1",Not Specified,Not Specified,Building Automation and Controls
PCG Control Panel,Facility Explorer,Control Panel,"PAZB00001FH0, PAYB00001BH4, PAYBZH002BH0, PAYAZB002BH0, PAYBZB002AH0, PAYA00001BH4, PAYBZC002AH0, PAYBZG002BH0, PAYC00001FH0, PAYB00011BH0, PAYBZG002AH0, PAYAZD002AH0, PAYAZA001BH0, PAYB00001FH0, PAYBZC012BH0, PAYBZD002BH0, PAYC00001BH0, PAYAZC002AH0, PAYB00001AH4, PAYD00001BH0, PAZC00001FH0, PAYB00001BH0, PAZD00001FH0, PAZH00001FH0, PAYBZA001BH0, PAYBZE002BH0, PAZF00001FH0, PAYAZA011BH0, PAYBZC002BH0, PAYBZF002BH0, PAYBZB012BH0, PAZA00001FH0, PAYB00001AH0, PAYAZB012BH0, PAYBZF002AH0, PAYB00001FH4, PAYBZA001AH0, PAYBZD002BH4, PAYD00001FH0, PAYAZC002BH0, PAYA00001BH0, PAYA00001AH0, PAYB00011EH0, PAYAZA001AH0, PAYB00002AH0, PAYBZB002BH0, PAYAZD012BH0, PAYA00011BH0, PAYBZD012BH0, PAZG00001FH0, PAYD00001AH0, PAYAZC012BH0, PAYA00001FH4, PAYBZD002AH0, PAYA00001FH0, PAYBZH002AH0, PAYBZA011BH0, PAYA00011EH0, PAYAZB002AH0, PAYAZD002BH0",Not Specified,Not Specified,Building Automation and Controls
PCX Control Panel,Facility Explorer,Control Panel,"PAZB00001FH0, PAYB00001BH4, PAYBZH002BH0, PAYAZB002BH0, PAYBZB002AH0, PAYA00001BH4, PAYBZC002AH0, PAYBZG002BH0, PAYC00001FH0, PAYB00011BH0, PAYBZG002AH0, PAYAZD002AH0, PAYAZA001BH0, PAYB00001FH0, PAYBZC012BH0, PAYBZD002BH0, PAYC00001BH0, PAYAZC002AH0, PAYB00001AH4, PAYD00001BH0, PAZC00001FH0, PAYB00001BH0, PAZD00001FH0, PAZH00001FH0, PAYBZA001BH0, PAYBZE002BH0, PAZF00001FH0, PAYAZA011BH0, PAYBZC002BH0, PAYBZF002BH0, PAYBZB012BH0, PAZA00001FH0, PAYB00001AH0, PAYAZB012BH0, PAYBZF002AH0, PAYB00001FH4, PAYBZA001AH0, PAYBZD002BH4, PAYD00001FH0, PAYAZC002BH0, PAYA00001BH0, PAYA00001AH0, PAYB00011EH0, PAYAZA001AH0, PAYB00002AH0, PAYBZB002BH0, PAYAZD012BH0, PAYA00011BH0, PAYBZD012BH0, PAZG00001FH0, PAYD00001AH0, PAYAZC012BH0, PAYA00001FH4, PAYBZD002AH0, PAYA00001FH0, PAYBZH002AH0, PAYBZA011BH0, PAYA00011EH0, PAYAZB002AH0, PAYAZD002BH0",Not Specified,Not Specified,Building Automation and Controls
OptiView,YORK,YORK Enhancement,Not Specified,Not Specified,Not Specified,Chillers
Addressable Smoke and Heat Sensors; Multi-Sensors Smoke and Heat,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
Isolator Bases,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
Sounder Bases and Accessories,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
Loop Powered General Signaling Sounder-Beacons,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
4090-5250 Loop Powered Multiple I/O Module with Three Inputs and Two Outputs,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
LCD Digital Thermostat,Johnson Controls,Digital Thermostat,Not Specified,Not Specified,Not Specified,Building Automation and Controls APAC
ECO1001,Johnson Controls,Field Device,"SE-ECO1001-1, SE-ECO1001-0",Not Specified,Not Specified,Building Automation and Controls
SEC,Johnson Controls,Field Device,"SE-ECO1001-1, SE-ECO1001-0",Not Specified,Not Specified,Building Automation and Controls
FDD1001,Johnson Controls,Field Device,"SE-FDD1001-0, SE-FDD1001-1",Not Specified,Not Specified,Building Automation and Controls
SEC,Johnson Controls,Field Device,"SE-FDD1001-0, SE-FDD1001-1",Not Specified,Not Specified,Building Automation and Controls
YT,YORK,Centrifugal,Not Specified,Not Specified,Not Specified,Chillers
YST,YORK,Centrifugal,Not Specified,Not Specified,Not Specified,Chillers
F262 Airflow Switch,PENN Controls,"Flow, Liquid Level,Air‐Volume Control","F262, F262KDH-01C",F262,24-9803-170,Building Automation and Controls
4-Wire Heat Detector,Simplex,Sensors and Initiating Devices,Not Specified,Not Specified,Not Specified,Not Specified
RZ-2000 Round Zone Damper,Johnson Controls,Zone Damper,RZG,Not Specified,Not Specified,Building Automation and Controls
RZ-2000 Series Round Zone Damper,Johnson Controls,Zone Damper,RZG,Not Specified,Not Specified,Building Automation and Controls
YK,YORK,Centrifugal,Not Specified,Not Specified,Not Specified,Chillers
Wireless Coordinator Control Panel,Johnson Controls,Control Panel,"PAWAGJ001EH0, PAWAGA001EH0, PAWARE001EH4, PAWAG1001EH0, PAWARL001EH0, PAWARE001EH0, PAWAGE001EH0",Not Specified,Not Specified,Building Automation and Controls
Emerald,CEM Systems,Hardware,Not Specified,Not Specified,TSR-UG-0039-1.4,Access Control
PC-125x Counter-Balanced Backdraft Damper,Johnson Controls,Backdraft Damper,"PCMNN, PCHNN, PCLNN",Not Specified,Not Specified,Building Automation and Controls
VD-1300 Volume Control Damper,Johnson Controls,Control Damper,"VPPSN, VPPEG, VPAHB, VPAHF, VPPEC, VPPEA, VPPSP, VPVEG, VPPED, VPVSN, VOVHF, VPASN, VPVED, VPAEP, VPAHA, VOASF, VPASC, VPVSC, VOVSD, VPAEG, VPAEB, VOVSN, VPAEA, VPVHF, VOAHC, VOAEB, VPAHG, DOPEN, VOVSP, VPVEP, VPPEF, VOVSG, VOAEN, VOVHB, VOAEC, VPPHG, VPAHP, DOPSN, VPAHD, VOAHA, VOVEP, VOAED, VOVSB, VPVSP, VOAHP, VOVEG, VPAHN, VOVHG, VPVHG, VPPHP, VOASN, VPAEF, VOVSC, VPASG, VPASD, VPPSC, VOAHD, VPPSB, VOVEC, VPVHC, VPPSD, VOASB, VPASA, VPASP, VOAEA, VOAEF, VOASD, VPAHC, VOASC, VOVSF, VPPHB, VPVEA, VPVEB, VPASF, VOAHB, VOAEG, VPVSF, VOVEN, VPPEB, VPVSG, VPVSD, VOVHN, VPPSF, VPPEP, VOAHG, VOAHN, VOVHA, VPVHA, VPVHD, VPPHC, VPVHP, VOVHC, VOASG, VOVED, VPPSG, VOVSA, VPASB, VPVHN, VOASA, VPVEC, VPAED, VOVHD, VPPEN, VPPHA, VOASP, VPVSB, VPVEF, VPAEN, VPVHB, VOVEB, VPPHN, VPAEC, VPVEN, VPPHF, VOAEP, VPPHD, VOVEA, VPPSA, DOPHN, VOAHF, VOVEF, VPVSA, VOVHP",Not Specified,Not Specified,Building Automation and Controls
VD-1310 Volume Control Damper,Johnson Controls,Control Damper,"VPPSN, VPPEG, VPAHB, VPAHF, VPPEC, VPPEA, VPPSP, VPVEG, VPPED, VPVSN, VOVHF, VPASN, VPVED, VPAEP, VPAHA, VOASF, VPASC, VPVSC, VOVSD, VPAEG, VPAEB, VOVSN, VPAEA, VPVHF, VOAHC, VOAEB, VPAHG, DOPEN, VOVSP, VPVEP, VPPEF, VOVSG, VOAEN, VOVHB, VOAEC, VPPHG, VPAHP, DOPSN, VPAHD, VOAHA, VOVEP, VOAED, VOVSB, VPVSP, VOAHP, VOVEG, VPAHN, VOVHG, VPVHG, VPPHP, VOASN, VPAEF, VOVSC, VPASG, VPASD, VPPSC, VOAHD, VPPSB, VOVEC, VPVHC, VPPSD, VOASB, VPASA, VPASP, VOAEA, VOAEF, VOASD, VPAHC, VOASC, VOVSF, VPPHB, VPVEA, VPVEB, VPASF, VOAHB, VOAEG, VPVSF, VOVEN, VPPEB, VPVSG, VPVSD, VOVHN, VPPSF, VPPEP, VOAHG, VOAHN, VOVHA, VPVHA, VPVHD, VPPHC, VPVHP, VOVHC, VOASG, VOVED, VPPSG, VOVSA, VPASB, VPVHN, VOASA, VPVEC, VPAED, VOVHD, VPPEN, VPPHA, VOASP, VPVSB, VPVEF, VPAEN, VPVHB, VOVEB, VPPHN, VPAEC, VPVEN, VPPHF, VOAEP, VPPHD, VOVEA, VPPSA, DOPHN, VOAHF, VOVEF, VPVSA, VOVHP",Not Specified,Not Specified,Building Automation and Controls
VD-1320 Volume Control Damper,Johnson Controls,Control Damper,"VPPSN, VPPEG, VPAHB, VPAHF, VPPEC, VPPEA, VPPSP, VPVEG, VPPED, VPVSN, VOVHF, VPASN, VPVED, VPAEP, VPAHA, VOASF, VPASC, VPVSC, VOVSD, VPAEG, VPAEB, VOVSN, VPAEA, VPVHF, VOAHC, VOAEB, VPAHG, DOPEN, VOVSP, VPVEP, VPPEF, VOVSG, VOAEN, VOVHB, VOAEC, VPPHG, VPAHP, DOPSN, VPAHD, VOAHA, VOVEP, VOAED, VOVSB, VPVSP, VOAHP, VOVEG, VPAHN, VOVHG, VPVHG, VPPHP, VOASN, VPAEF, VOVSC, VPASG, VPASD, VPPSC, VOAHD, VPPSB, VOVEC, VPVHC, VPPSD, VOASB, VPASA, VPASP, VOAEA, VOAEF, VOASD, VPAHC, VOASC, VOVSF, VPPHB, VPVEA, VPVEB, VPASF, VOAHB, VOAEG, VPVSF, VOVEN, VPPEB, VPVSG, VPVSD, VOVHN, VPPSF, VPPEP, VOAHG, VOAHN, VOVHA, VPVHA, VPVHD, VPPHC, VPVHP, VOVHC, VOASG, VOVED, VPPSG, VOVSA, VPASB, VPVHN, VOASA, VPVEC, VPAED, VOVHD, VPPEN, VPPHA, VOASP, VPVSB, VPVEF, VPAEN, VPVHB, VOVEB, VPPHN, VPAEC, VPVEN, VPPHF, VOAEP, VPPHD, VOVEA, VPPSA, DOPHN, VOAHF, VOVEF, VPVSA, VOVHP",Not Specified,Not Specified,Building Automation and Controls
VD-1330 Volume Control Damper,Johnson Controls,Control Damper,"VPPSN, VPPEG, VPAHB, VPAHF, VPPEC, VPPEA, VPPSP, VPVEG, VPPED, VPVSN, VOVHF, VPASN, VPVED, VPAEP, VPAHA, VOASF, VPASC, VPVSC, VOVSD, VPAEG, VPAEB, VOVSN, VPAEA, VPVHF, VOAHC, VOAEB, VPAHG, DOPEN, VOVSP, VPVEP, VPPEF, VOVSG, VOAEN, VOVHB, VOAEC, VPPHG, VPAHP, DOPSN, VPAHD, VOAHA, VOVEP, VOAED, VOVSB, VPVSP, VOAHP, VOVEG, VPAHN, VOVHG, VPVHG, VPPHP, VOASN, VPAEF, VOVSC, VPASG, VPASD, VPPSC, VOAHD, VPPSB, VOVEC, VPVHC, VPPSD, VOASB, VPASA, VPASP, VOAEA, VOAEF, VOASD, VPAHC, VOASC, VOVSF, VPPHB, VPVEA, VPVEB, VPASF, VOAHB, VOAEG, VPVSF, VOVEN, VPPEB, VPVSG, VPVSD, VOVHN, VPPSF, VPPEP, VOAHG, VOAHN, VOVHA, VPVHA, VPVHD, VPPHC, VPVHP, VOVHC, VOASG, VOVED, VPPSG, VOVSA, VPASB, VPVHN, VOASA, VPVEC, VPAED, VOVHD, VPPEN, VPPHA, VOASP, VPVSB, VPVEF, VPAEN, VPVHB, VOVEB, VPPHN, VPAEC, VPVEN, VPPHF, VOAEP, VPPHD, VOVEA, VPPSA, DOPHN, VOAHF, VOVEF, VPVSA, VOVHP",Not Specified,Not Specified,Building Automation and Controls
RLD PRO,PENN Controls,Refrigerant Leak Detector and Monitor,"RLD-H10PRO-1, RLD-H10PRO",Not Specified,Not Specified,Building Automation and Controls
59 Series Notification Appliance Appliance Cover,Simplex,Notification Appliances and Speakers,Not Specified,Not Specified,Not Specified,Not Specified
SEC,Johnson Controls,Field Device,"SE-SPU1004-0, SE-SPU1004-1",Not Specified,Not Specified,Building Automation and Controls
SPU,Johnson Controls,Field Device,"SE-SPU1004-0, SE-SPU1004-1",Not Specified,Not Specified,Building Automation and Controls
UCB,Johnson Controls,Field Device,"SE-SPU1004-0, SE-SPU1004-1",Not Specified,Not Specified,Building Automation and Controls
Metasys System,Metasys,General System Information,Not Specified,Not Specified,Not Specified,Building Automation and Controls
IDA-3100 RFID Antenna,Sensormatic,RFID,Not Specified,Not Specified,Not Specified,Not Specified
EntraPass,Kantech,Software,Not Specified,Not Specified,Not Specified,Not Specified
LC-1250 Adjustable Louver,Johnson Controls,Louver,"LMCFA, LMCFG, LMCFD, LMCFC, LMCFF, LMNFB, LMNFG, LMNFA, LMCFN, LMNFF, LMNFC, LMNFN, LMCFB, LMNFD",Not Specified,Not Specified,Building Automation and Controls
LM-1250 Adjustable Louver,Johnson Controls,Louver,"LMCFA, LMCFG, LMCFD, LMCFC, LMCFF, LMNFB, LMNFG, LMNFA, LMCFN, LMNFF, LMNFC, LMNFN, LMCFB, LMNFD",Not Specified,Not Specified,Building Automation and Controls
EntraPass,Kantech,"Accessories, Software",Not Specified,Not Specified,Not Specified,Not Specified
ACC-WIFI,Johnson Controls,Thermostat Accessories,ACC-WIFI,Not Specified,Not Specified,Building Automation and Controls
Not Specified,PENN Controls,System 450 Multi-Purpose Modular Control System,Not Specified,System 450,Not Specified,Building Automation and Controls
P20 Pressure Control,PENN Controls,Electromechanical Pressure Control,"P20DB-1D, P20EB-13D, P20DB-6D, P20BB-1D, P20EB-22C, P20BB, P20EB-2C, P20EB-12D, P20EB-2D, P20EB-11D, P20EB-17D, P20DB-1C, P20EB-16C, P20EB-1D, P20EB-21C, P20DB, P20EB-14D, P20EB-1C, P20EB-18C, P20EB-17DM, P20, P20EB-19C, P20EB, P20BB-1C, P20EB-19D",210,997-780,Building Automation and Controls
P21 Pressure Control,PENN Controls,Electromechanical Pressure Control,"P20DB-1D, P20EB-13D, P20DB-6D, P20BB-1D, P20EB-22C, P20BB, P20EB-2C, P20EB-12D, P20EB-2D, P20EB-11D, P20EB-17D, P20DB-1C, P20EB-16C, P20EB-1D, P20EB-21C, P20DB, P20EB-14D, P20EB-1C, P20EB-18C, P20EB-17DM, P20, P20EB-19C, P20EB, P20BB-1C, P20EB-19D",210,997-780,Building Automation and Controls
P20 Pressure Control,PENN Controls,Electromechanical Pressure Control,"P20DB-1D, P20EB-13D, P20DB-6D, P20BB-1D, P20EB-22C, P20BB, P20EB-2C, P20EB-12D, P20EB-2D, P20EB-11D, P20EB-17D, P20DB-1C, P20EB-16C, P20EB-1D, P20EB-21C, P20DB, P20EB-14D, P20EB-1C, P20EB-18C, P20EB-17DM, P20, P20EB-19C, P20EB, P20BB-1C, P20EB-19D",P20,997-780,Building Automation and Controls
P21 Pressure Control,PENN Controls,Electromechanical Pressure Control,"P20DB-1D, P20EB-13D, P20DB-6D, P20BB-1D, P20EB-22C, P20BB, P20EB-2C, P20EB-12D, P20EB-2D, P20EB-11D, P20EB-17D, P20DB-1C, P20EB-16C, P20EB-1D, P20EB-21C, P20DB, P20EB-14D, P20EB-1C, P20EB-18C, P20EB-17DM, P20, P20EB-19C, P20EB, P20BB-1C, P20EB-19D",P20,997-780,Building Automation and Controls
A19 Remote Bulb Control,PENN Controls,Electromechanical Temperature Control,"A19QSC, A19QSC-3C, A19QSC-4C, A19, A19QSC-1C, A19QSC-2C",A19,24-7664-2667,Building Automation and Controls
A19 Remote Bulb Control,PENN Controls,Electromechanical Temperature Control,"A19ANC-13C, A19ANC-3C, A19ANF, A19ANC-2C, A19APC, A19ANC-1C, A19, A19ANC",A19,3530,Building Automation and Controls
DPT-2015 Differential Pressure Transmitter,Johnson Controls,Transmitter,DPT-2015-0,Not Specified,Not Specified,Building Automation and Controls
E-Series,Exacq,Encoders and IP Cameras,Not Specified,E,Not Specified,Not Specified
Temperature Sensor,Johnson Controls,Humidity Sensor,HL-67x5,Not Specified,Not Specified,Building Automation and Controls
TrueRH HL-67x5 Humidity Device,Johnson Controls,"Humidity Sensor, Temperature Sensor",HL-67N5-8N00P,Not Specified,Not Specified,Building Automation and Controls
YIA,YORK,Absorption,Not Specified,Not Specified,Not Specified,Chillers
CCS,Johnson Controls,Field Device,"SE-SPU1012-1, SE-SPU1011-1, LC-RTU1003-0",Not Specified,Not Specified,Building Automation and Controls
SEC,Johnson Controls,Field Device,"SE-SPU1012-1, SE-SPU1011-1, LC-RTU1003-0",Not Specified,Not Specified,Building Automation and Controls
UCB,Johnson Controls,Field Device,"SE-SPU1012-1, SE-SPU1011-1, LC-RTU1003-0",Not Specified,Not Specified,Building Automation and Controls
CCS,Johnson Controls,Supervisory Device,"LC-ZCU200-0, LC-SMU210-0, LC-ZCU310-0, LC-ZCU210-0, LC-ZCU110-0, LC-ZCU100-0, LC-ZCU300-0, LC-ZCU400-0, LC-SMU200-0, LC-ZCU410-0",Not Specified,Not Specified,Building Automation and Controls
