title,created_at,breadcrumb,link,metadata
Input activated—Supervised temporarily manual operation,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Inputs> Input activated—Supervised temporarily manual operation,/reader/tncg_gxjJ2AX~9semXfgLA/K~xuIT2deXnVt80ATUPlJA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Input activated—Supervised manual operation,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Inputs> Input activated—Supervised manual operation,/reader/tncg_gxjJ2AX~9semXfgLA/fAqsqQePJvkQKQwy2RJ_dQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Input activated—Not supervised manual operation,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Inputs> Input activated—Not supervised manual operation,/reader/tncg_gxjJ2AX~9semXfgLA/MKNUasVbUmRx3p~_JXRPMA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Input activated—Supervised,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Inputs> Input activated—Supervised,/reader/tncg_gxjJ2AX~9semXfgLA/62DUqKP_L_mIGi5sxKKdtg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Input activated—Not supervised,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Inputs> Input activated—Not supervised,/reader/tncg_gxjJ2AX~9semXfgLA/XGL8ZKrH_msRriIwQpEQzg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Inputs,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Inputs,/reader/tncg_gxjJ2AX~9semXfgLA/DcGwCFRZ66yAPtkTAlOOvw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay deactivated,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay deactivated,/reader/tncg_gxjJ2AX~9semXfgLA/SsVvW_3Fk~kUZZIuy8a1dQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay temporarily activated by a schedule,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay temporarily activated by a schedule,/reader/tncg_gxjJ2AX~9semXfgLA/NA4Xk8QGHHrE401CtJNWTw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay temporarily activated by an operator,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay temporarily activated by an operator,/reader/tncg_gxjJ2AX~9semXfgLA/w56ffdZIWKwj3pBTD1qTrQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay activated by an operator,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay activated by an operator,/reader/tncg_gxjJ2AX~9semXfgLA/Qv9zphpXO3w87WDsLo9QYQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay temporarily activated by an input,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay temporarily activated by an input,/reader/tncg_gxjJ2AX~9semXfgLA/Az3_jo3xGOLKmmJ2GS1YMg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay activated by an input,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay activated by an input,/reader/tncg_gxjJ2AX~9semXfgLA/vdq9beQwx1T8NeBJdJ6pVw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay temporarily activated by an event,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay temporarily activated by an event,/reader/tncg_gxjJ2AX~9semXfgLA/YKaTLdguloD1dJsrrWnJzw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay activated by an event,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay activated by an event,/reader/tncg_gxjJ2AX~9semXfgLA/SGANqRtqO5tq6~E7xAEQfQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay activated by alarm system delay,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay activated by alarm system delay,/reader/tncg_gxjJ2AX~9semXfgLA/yZMRHmxPnix8nNdg_ZsW7A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay activated by alarm system function,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay activated by alarm system function,/reader/tncg_gxjJ2AX~9semXfgLA/WOosO_D3y1pT~5LdRqBAwA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relay activated by alarm system in alarm,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays> Relay activated by alarm system in alarm,/reader/tncg_gxjJ2AX~9semXfgLA/4Cyj2TofB3hahxCcMKG~vw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Relays,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Relays,/reader/tncg_gxjJ2AX~9semXfgLA/gxJTYWeCxkpyGCU4wwWU7w,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Wireless Lock Error,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Wireless Lock Error,/reader/tncg_gxjJ2AX~9semXfgLA/MzhIyTyjkXpSwS4sFZPBqw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Wireless Lock Connected,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Wireless Lock Connected,/reader/tncg_gxjJ2AX~9semXfgLA/RccO59ST58mEIdF41T2K9Q,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Elevator door unlocked and closed,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Elevator door unlocked and closed,/reader/tncg_gxjJ2AX~9semXfgLA/qbAXgXMDgwJFnRoxSmf0ww,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door unlocked by a schedule (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door unlocked by a schedule (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/EDw7Vdu7~_OaMG8vJZ4yDg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door unlocked by a schedule,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door unlocked by a schedule,/reader/tncg_gxjJ2AX~9semXfgLA/Cqa~Wzd5hn4TWKGe2ovv_g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door unlocked by an operator (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door unlocked by an operator (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/SQZGlHTStbdLA8aRMrwNhw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door unlocked by an operator,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door unlocked by an operator,/reader/tncg_gxjJ2AX~9semXfgLA/fjCYRJUxK5XtdOdPMSajoQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door still opened schedule invalid (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door still opened schedule invalid (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/ZaQN6ovvvZ71qzguH~T_sg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door still opened schedule invalid,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door still opened schedule invalid,/reader/tncg_gxjJ2AX~9semXfgLA/ww~MigIPrkj1NYVAPGX84A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door pre-alarm on open too long (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door pre-alarm on open too long (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/Q1M73YIFXTV1ZBgIRW9Slw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door pre-alarm on open too long,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door pre-alarm on open too long,/reader/tncg_gxjJ2AX~9semXfgLA/OzcL3GTGd4QaCSvC~Ms4lQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door is opened and unlocked by schedule (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door is opened and unlocked by schedule (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/nJKi6MYasXYOhLmL6T7THA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door is opened and unlocked by schedule,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door is opened and unlocked by schedule,/reader/tncg_gxjJ2AX~9semXfgLA/Pfk0j48J0Zpw6OCLJmS36A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door open and unlocked manually (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door open and unlocked manually (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/skf7RM6qxAhCQNbrSc6nTA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door open and unlocked manually,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door open and unlocked manually,/reader/tncg_gxjJ2AX~9semXfgLA/7y2~d_bZU6hAobOklCFKlg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door open too long (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door open too long (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/Iy82r1yhyceEUuxuKYRSCg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door open too long,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door open too long,/reader/tncg_gxjJ2AX~9semXfgLA/HvBMBoMiGxRjmDWNCsRsRQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door closed and locked (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door closed and locked (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/GEsuc9Kyu4WF6pgWeSjnog,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door closed and locked,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door closed and locked,/reader/tncg_gxjJ2AX~9semXfgLA/OAWGFcRjPqEArAI~hOSY6A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door forced open (reader disabled),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door forced open (reader disabled),/reader/tncg_gxjJ2AX~9semXfgLA/7d9zGLCa2VOZrkD0UVF~IA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Door forced open,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors> Door forced open,/reader/tncg_gxjJ2AX~9semXfgLA/jbHAScq6H4upJsUg9xy6KQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Doors,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Doors,/reader/tncg_gxjJ2AX~9semXfgLA/XSiX38JxLM4AwvzW0o_irg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
KT-400 controller trouble,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> KT-400 controller trouble,/reader/tncg_gxjJ2AX~9semXfgLA/C1RuRwFUEhCKMQ9y9PqEBg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller reloading firmware,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller reloading firmware,/reader/tncg_gxjJ2AX~9semXfgLA/NzrjyFze~8gafnWPG7og4g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller tamper in alarm,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller tamper in alarm,/reader/tncg_gxjJ2AX~9semXfgLA/Coxdu85gLXuaeP_x1FGjHA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller is in reset and tamper in alarm,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller is in reset and tamper in alarm,/reader/tncg_gxjJ2AX~9semXfgLA/FtDN4o4G3bUEqfgONh1D1A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
"Controller is in “Reset”, “AC failure” and “Tamper in alarm”",2018-06-29,"EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller is in “Reset”, “AC failure” and “Tamper in alarm”",/reader/tncg_gxjJ2AX~9semXfgLA/ZAPj1OEn9R_bxtyNfobtVQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller is in “Reset” and AC failure,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller is in “Reset” and AC failure,/reader/tncg_gxjJ2AX~9semXfgLA/4sFfAh6jT56e8YBZLsaXrg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller communication is regular (no problem),2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller communication is regular (no problem),/reader/tncg_gxjJ2AX~9semXfgLA/iugNmMHwaFxvbwjrU9eXGA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller is not communicating,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller is not communicating,/reader/tncg_gxjJ2AX~9semXfgLA/QUX4NnMY92Xciq3kByZUtA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller AC failure and Tamper Switch in “alarm”,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller AC failure and Tamper Switch in “alarm”,/reader/tncg_gxjJ2AX~9semXfgLA/vCx_1Bn_9Y2hyFSwiGkDMw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller Polling Malfunction,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller Polling Malfunction,/reader/tncg_gxjJ2AX~9semXfgLA/cT7as3Z_zhKaD~Y38yGj4Q,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
Controller AC failure,2018-06-29,EntraPass Corporate Edition Administration Guide> EntraPass Icons> Controllers> Controller AC failure,/reader/tncg_gxjJ2AX~9semXfgLA/4lLpl0WPiVqZTNBWyosi~g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.50,Document Type: Administration Guide"
