topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,product_name,brand,product_category,product_code,product_series,business,maps_link,breadcrumb
AcuAir Performance Series SPC,AcuAir Performance Series SPC,210.200-SPC1,Not Specified,Not Specified,2018-07,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/5nnEnOq5hESCaFlr0M6m0g,AcuAir,FRICK,Hygienic Air Handler,"YC-AA-P-20, YC-AA-P-40, YC-AA-P-07, YC-AA-P-15, YC-AA-P-30, YC-AA-P-80, YC-AA-P-10, YC-AA-P-50, YC-AA-P-70, YC-AA-P-60",Not Specified,Industrial Refrigeration,None,
AcuAir Quantum LX CS - Ver. 3.0x,AcuAir Quantum LX CS - Ver. 3.0x,090.510-CS,Not Specified,2010-10 ,2010-10 ,Communications Setup Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/~sjJwC990PwnCbuQRXZljg,"AcuAir, Quantum LX",FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,
AcuAir Quantum LX M - Ver. 3.0x,AcuAir Quantum LX M - Ver. 3.0x,090.510-M,Not Specified,2010-10 ,2010-10 ,Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/rCIOVzrdjowMs23VSbThYQ,"AcuAir, Quantum LX",FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,
AcuAir Quantum LX O - Ver. 3.2x,AcuAir Quantum LX O - Ver. 3.2x,090.510-O,Not Specified,2013-09 ,2013-09 ,Operation Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/Ty96SAiqRqDrns1vDw~XJA,"AcuAir, Quantum LX",FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,
AcuAir Quantum LX O Service - Ver. 3.0x,AcuAir Quantum LX O Service - Ver. 3.0x,090.512-O,Not Specified,2007-03 ,2007-03 ,Operation Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/9_HH3Bd1pLz6~0leTKMqug,"AcuAir, Quantum LX",FRICK,Control,Not Specified,Not Specified,Industrial Refrigeration,None,
AcuAir Sanitary Series SPC,AcuAir Sanitary Series SPC,210.220-SPC1,Not Specified,Not Specified,2017-02,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/_IChvzNomcZSOVBVmoKmPQ,"AcuAir, Sanitary Series",FRICK,Hygienic Air Handler,"YC-AA-S-40, YC-AA-S-70, YC-AA-S-20, YC-AA-S-50, YC-AA-S-15, YC-AA-S-30, YC-AA-S-10, YC-AA-S-60, YC-AA-S-80, YC-AA-S-07",Not Specified,Industrial Refrigeration,None,
Compressor Oil Analysis SPC,Compressor Oil Analysis SPC,020.010-SPC,Not Specified,Not Specified,2000-05,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/A5SKXzGMAJQl5Lbgrv4lcw,Compressor Oil,FRICK,"Compressor, General",Not Specified,Not Specified,Industrial Refrigeration,None,
Compressor Oil Specifications,Compressor Oil Specifications,160.802-SPC,Not Specified,Not Specified,2017-05,Specification Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/ClbVwU_NiHtKwpEuDwmGww,Compressor Oil,FRICK,Accessory,Not Specified,Not Specified,Industrial Refrigeration,None,
ECC/ECL/ECC-C Evaporative Condensers IOM,ECC/ECL/ECC-C Evaporative Condensers IOM,140.930-IOM,Not Specified,Not Specified,2015-11,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/S4e760i2MT3wbJi~jW7H9A,"ECC, ECL",FRICK,Condenser,"ECC-512, ECC-818, ECC-812, ECC-C-712, ECC-036, ECC-033, ECC-312, ECL-0809, ECL-0412, ECL-0406, ECC-039, ECC-1212, ECC-1218, ECC-1236, ECC-C-718, ECC-1224, ECL-0403, ECL-0812, ECL-0409",Not Specified,Industrial Refrigeration,None,
ECH Evaporative Condensers IOM,ECH Evaporative Condensers IOM,140.910-IOM,Not Specified,Not Specified,2013-12,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/qlEeuCxCzkI5PQ8Ra4tKVw,ECH,FRICK,Condenser,"ECH-809, ECH-1212, CH-2424, ECH-1224, ECH-2629, ECH-806, ECH-1218, ECH-2412, ECH-812, ECH-1236, ECH-2614",Not Specified,Industrial Refrigeration,None,
ECOSS Evaporative Condenser IOM,ECOSS Evaporative Condenser IOM,140.010-IOM,Not Specified,Not Specified,2018-04,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/zffpArL5~jU9RscIs5dREQ,"ECOSS, IDSC",FRICK,Condenser,"IDSC 1018, IDSC 1236, IDSC 2412, IDSC 2418, IDSC 2436, IDSC 1218, IDSC 1224, IDSC 1036, IDSC 1024, IDSC 1212, IDSC 2424, IDSC 1012",Not Specified,Industrial Refrigeration,None,
ECOSS Evaporative Condenser SG,ECOSS Evaporative Condenser SG,140.010-SG1,Not Specified,Not Specified,2018-06,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/ErhykcS_8nttiV2teOTMOw,ECOSS,FRICK,Condenser,Not Specified,Not Specified,Industrial Refrigeration,None,
"Enchanced, Unit Mounted Solid-State Starter ADV","Enchanced, Unit Mounted Solid-State Starter ADV",100.100-ADV05,Not Specified,Not Specified,2012-11,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/fPQsmgjhepv7LptCtsHWHg,Solid-State Starter,FRICK,Motors and Starters,Not Specified,Not Specified,Industrial Refrigeration,None,
Extended Warranty Programs Plus 3 ADV,Extended Warranty Programs Plus 3 ADV,020.100-ADV1,Not Specified,Not Specified,2018-08,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/7m4JzQ56YwHAAEfa4hXAOg,Not applicable,FRICK,General,Not Specified,Not Specified,Industrial Refrigeration,None,
Extended Warranty Programs Plus 4 ADV,Extended Warranty Programs Plus 4 ADV,020.100-ADV2,Not Specified,Not Specified,2018-08,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/DqvkLfLi9QboQL8ML4Xjrw,Not applicable,FRICK,General,Not Specified,Not Specified,Industrial Refrigeration,None,
Extended Warranty Programs Plus 5 ADV,Extended Warranty Programs Plus 5 ADV,020.100-ADV3,Not Specified,Not Specified,2018-08,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/aYZzCbj4MBIWBuL~EcxpzQ,Not applicable,FRICK,General,Not Specified,Not Specified,Industrial Refrigeration,None,
EZ-Cal High Pressure Cut-Out Test Block and Calibration Kit O,EZ-Cal High Pressure Cut-Out Test Block and Calibration Kit O,160.100-IO,Not Specified,Not Specified,2018-04,Operation Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/mSQHzaJGgE3VmEX_ul34_w,EZ-CAL,FRICK,Accessory,Not Specified,Not Specified,Industrial Refrigeration,None,
FRICK Motor-Plus ADV,FRICK Motor-Plus ADV,100.100-ADV04,Not Specified,Not Specified,2011-12,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/Wanp_LArhB3zBJ0qltAUsg,Motor-plus package,FRICK,Motors and Starters,Not Specified,Not Specified,Industrial Refrigeration,None,
Horizontal and Vertical Recirculator Package IOM,Horizontal and Vertical Recirculator Package IOM,120.200-IOM,Not Specified,Not Specified,2016-11,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/p_O9ZfLsO2wIZ6~mizSarw,"Horizontal, Recirculator, Vertical",FRICK,Vessel,Not Specified,Not Specified,Industrial Refrigeration,None,
IDC2 Evaporative Condenser IOM,IDC2 Evaporative Condenser IOM,140.940-IOM,Not Specified,Not Specified,2013-12,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/o9qF~W7adtiS5aYhiH~WPw,IDC2,FRICK,Condenser,"IDC2-X-1012, IDC2-X-1212, IDC2-X-1218, IDC2-X-0406, IDC2-X-0412, IDC2-X-7409, IDC2-X-7418",Not Specified,Industrial Refrigeration,None,
IDCF and IDC3 Evaporative Condenser IOM,IDCF and IDC3 Evaporative Condenser IOM,140.960-IOM,Not Specified,Not Specified,2018-02,Installation Operation and Maintenance Guide,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/k1dw~_kKSQoKhtZVgyilEg,"IDC3, IDCF",FRICK,Condenser,"IDCF-2420, IDC3-0412, IDCF-0412, IDC3-1212, IDCF-2418, IDC3-2418, IDCF-1240, IDC3-1024, IDCF-1212, IDC3-2424, IDC3-1218, IDCF-1236, IDCF-0709, IDCF-2412, IDC3-2436, IDCF-2440, IDCF-1024, IDC3-0406, IDC3-0709, IDC3-1236, IDCF-0406, IDCF-1220, IDC3-0718, IDC3-2012, IDCF-0718, IDCF-1218, IDCF-2436, IDC3-1012, IDCF-2012, IDC3-2412, IDCF-2424, IDCF-1012, IDC3-1224, IDCF-1224",Not Specified,Industrial Refrigeration,None,
LazerWeld Plate Heat Exchangers ADV - Backwash,LazerWeld Plate Heat Exchangers ADV - Backwash,190.210-ADV07,Not Specified,Not Specified,2015-11,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/Gr8sC6pFvuqNdanDnG_pFA,LaZerWeld,FRICK,Heat Exchanger,Not Specified,Not Specified,Industrial Refrigeration,None,
LaZerWeld Plate Heat Exchangers ADV - Chlorides Tip,LaZerWeld Plate Heat Exchangers ADV - Chlorides Tip,190.210-ADV01,Not Specified,Not Specified,2015-11,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/Sx7T60r8LBkFO~8LQVzk0w,LaZerWeld,FRICK,Heat Exchanger,Not Specified,Not Specified,Industrial Refrigeration,None,
LazerWeld Plate Heat Exchangers ADV - Exclusive Features,LazerWeld Plate Heat Exchangers ADV - Exclusive Features,190.210-ADV02,Not Specified,Not Specified,2015-11,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/6nOs3hEHDK2JUp1ovy~I3Q,LaZerWeld,FRICK,Heat Exchanger,Not Specified,Not Specified,Industrial Refrigeration,None,
LazerWeld Plate Heat Exchangers ADV - Gasket,LazerWeld Plate Heat Exchangers ADV - Gasket,190.210-ADV11,Not Specified,Not Specified,2017-06,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/OsGrxnfkzMgC5wDzPgY~eA,LaZerWeld,FRICK,Heat Exchanger,Not Specified,Not Specified,Industrial Refrigeration,None,
LazerWeld Plate Heat Exchangers ADV - Heat Recovery,LazerWeld Plate Heat Exchangers ADV - Heat Recovery,190.210-ADV05,Not Specified,Not Specified,2012-12,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/7ag2zWSJFO6cF11gW645Mw,LaZerWeld,FRICK,Heat Exchanger,Not Specified,Not Specified,Industrial Refrigeration,None,
LazerWeld Plate Heat Exchangers ADV - LZW 360 and LZW 800,LazerWeld Plate Heat Exchangers ADV - LZW 360 and LZW 800,190.210-ADV12,Not Specified,Not Specified,2017-08,Datasheet,,2020-03-10,2020-03-10,2020-03-10,2020-03-10,/viewer/document/FDAR~xWdxOliTpHGmIPHDA,LaZerWeld,FRICK,Heat Exchanger,Not Specified,Not Specified,Industrial Refrigeration,None,
