topic_title,document_title,document_number,document_part_number,document_version,document_revision,document_type,document_lang,document_created_at,document_last_edition,document_last_publication,document_revised_modified,document_link,brand,product_category,product_code,product_series,business,maps_link,breadcrumb,product_name,product_identifier
RWFII IOM (100-1080 with Quantum HD),RWFII IOM (100-1080 with Quantum HD),070.610-IOM,Not Specified,2018-12 ,2018-12 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/tQuyv91YmYdIgcCkv3s8sw,FRICK,Compressor,"100, 100B, 100H, 1080, 119 SS, 134 , 134B, 134H, 159 SS, 177, 177B, 177H, 209 SS, 222, 222B, 222H, 264 SS, 270, 270B, 270H, 316, 316B, 316H, 375 SS, 399, 399B, 399H, 472 SS, 480, 480B , 480H, 496, 546, 546B, 546H, 676, 856",Not Specified,Industrial Refrigeration,None,,RWFII,c6d5358d5a677ce85b053a5285b0c472bf2caab5
RWFII SPC (100-546 with Quantum HD),RWFII SPC (100-546 with Quantum HD),070.610-SPC,Not Specified,2012-08 ,2012-08 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/ivw2FIZyFrjf83IlOIFjYw,FRICK,Compressor,"100, 100B, 100H, 1080, 119 SS, 134 , 134B, 134H, 159 SS, 177, 177B, 177H, 209 SS, 222, 222B, 222H, 264 SS, 270, 270B, 270H, 316, 316B, 316H, 375 SS, 399, 399B, 399H, 472 SS, 480, 480B , 480H, 496, 546, 546B, 546H, 676, 856",Not Specified,Industrial Refrigeration,None,,RWFII,c6d5358d5a677ce85b053a5285b0c472bf2caab5
RWFII SPC (100-546 with Quantum HD),RWFII SPC (100-546 with Quantum HD),070.610-SPC1 ,Not Specified,2014-07 ,2014-07 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/D08hp0vWkOvysnlY~sZ1sg,FRICK,Compressor,"100, 100B, 100H, 1080, 119 SS, 134 , 134B, 134H, 159 SS, 177, 177B, 177H, 209 SS, 222, 222B, 222H, 264 SS, 270, 270B, 270H, 316, 316B, 316H, 375 SS, 399, 399B, 399H, 472 SS, 480, 480B , 480H, 496, 546, 546B, 546H, 676, 856",Not Specified,Industrial Refrigeration,None,,RWFII,c6d5358d5a677ce85b053a5285b0c472bf2caab5
RWFII SPC (496-1080 with Quantum HD),RWFII SPC (496-1080 with Quantum HD),070.610-SPC,Not Specified,2012-08 ,2012-08 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/8LM_sqp1thboNr2QEE7Z5A,FRICK,Compressor,"100, 100B, 100H, 1080, 119 SS, 134 , 134B, 134H, 159 SS, 177, 177B, 177H, 209 SS, 222, 222B, 222H, 264 SS, 270, 270B, 270H, 316, 316B, 316H, 375 SS, 399, 399B, 399H, 472 SS, 480, 480B , 480H, 496, 546, 546B, 546H, 676, 856",Not Specified,Industrial Refrigeration,None,,RWFII,c6d5358d5a677ce85b053a5285b0c472bf2caab5
RWH Rotary Screw Compressor Units IOM,RWH Rotary Screw Compressor Units IOM,070.620-IOM,Not Specified,Not Specified,2012-12,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/kYVaYaV7LAlPBw53USJTUw,FRICK,Compressor,"1179, 1395, 852",Not Specified,Industrial Refrigeration,None,,RWH,68e80101184f773df4e3b244ac132756771544b0
"RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)","RWH Vertical Units SPC (852, 1179, and 1395 with Quantum LX)",070.620-SPC,Not Specified,Not Specified,2013-02,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/yJXsQ~_58JNCdUEENzj6ZQ,FRICK,Compressor,"1179, 1395, 852",Not Specified,Industrial Refrigeration,None,,RWH,68e80101184f773df4e3b244ac132756771544b0
RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,RXB Plus Rotary Screw Compressor with Microprocessor Control IOM,S70-101-IOM ,Not Specified,2000-01 ,2000-01 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/5J7tyW0wPmYo~VcmQ~KIVg,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,RXB,3358e40ae91ffbf8f0f1d520ed663d18a1601294
RXF IOM with Quantum HD Controls (12-101),RXF IOM with Quantum HD Controls (12-101),070.410-IOM,Not Specified,2018-12 ,2018-12 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/g0NpuiJigh~YtYInMIjIzA,FRICK,Compressor,"101, 12, 15, 19, 19 , 24, 30, 30 , 39, 50, 58, 68, 85",Not Specified,Industrial Refrigeration,None,,RXF,688eb1955a432dd3b27fe98c4224e60aea508e1a
RXF with Quantum HD Controls SPC (12-50),RXF with Quantum HD Controls SPC (12-50),070.410-SPC1 ,Not Specified,2014-07 ,2014-07 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/scQcoS5mMvHgHnlCP2tEZA,FRICK,Compressor,"101, 12, 15, 19, 19 , 24, 30, 30 , 39, 50, 58, 68, 85",Not Specified,Industrial Refrigeration,None,,RXF,688eb1955a432dd3b27fe98c4224e60aea508e1a
"SBTP Compressor IOM (4013, 4018, and 4021)","SBTP Compressor IOM (4013, 4018, and 4021)",070.655-IOM,Not Specified,Not Specified,2019-05,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/SKEQ~L2YKFMx5vcYKgmv9w,FRICK,Compressor,"4013, 4018, 4021",Not Specified,Industrial Refrigeration,None,,SBTP,550ce3ed3845253ec452e60815bf5e87a4128c24
"SBTP Compressor SPC (4013, 4018, and 4021)","SBTP Compressor SPC (4013, 4018, and 4021)",070.655-SPC,Not Specified,Not Specified,2017-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/jIsJYuy3Y3Kf8AAE~Z2OzQ,FRICK,Compressor,"4013, 4018, 4021",Not Specified,Industrial Refrigeration,None,,SBTP,550ce3ed3845253ec452e60815bf5e87a4128c24
SGC Rotary Screw Compressors IOM (1913-3524),SGC Rotary Screw Compressors IOM (1913-3524),070.650-IOM,Not Specified,2009-10 ,2009-10 ,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Hms4t9ygAzAFnmWRkLfwFA,FRICK,Compressor,"SGC 1913, SGC 1918, SGC 2313, SGC 2317, SGC 2321, SGC 2813, SGC 2817, SGC 2821 , SGC 2824, SGCB 3511, SGCB 3515, SGCB 3519, SGCH 3511, SGCH 3515, SGCH 3519, SGXB 3519, SGXB 3524, SGXH 3519, SGXH 4013, SGXH 4018, SGXH 4021",Not Specified,Industrial Refrigeration,None,,SGC,5184770c1dabc199d6d63a6f9cab0622665e7c16
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGC 1913, SGC 1918, SGC 2313, SGC 2317, SGC 2321, SGC 2813, SGC 2817, SGC 2821 , SGC 2824, SGCB 3511, SGCB 3515, SGCB 3519, SGCH 3511, SGCH 3515, SGCH 3519, SGXB 3519, SGXB 3524, SGXH 3519, SGXH 4013, SGXH 4018, SGXH 4021",Not Specified,Industrial Refrigeration,None,,SGC,5184770c1dabc199d6d63a6f9cab0622665e7c16
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGC 1913, SGC 1918, SGC 2313, SGC 2317, SGC 2321, SGC 2813, SGC 2817, SGC 2821 , SGC 2824, SGCB 3511, SGCB 3515, SGCB 3519, SGCH 3511, SGCH 3515, SGCH 3519, SGXB 3519, SGXB 3524, SGXH 3519, SGXH 4013, SGXH 4018, SGXH 4021",Not Specified,Industrial Refrigeration,None,,SGCB,45a31ff53019ee4510c44185f25b85ae45b4362f
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGC 1913, SGC 1918, SGC 2313, SGC 2317, SGC 2321, SGC 2813, SGC 2817, SGC 2821 , SGC 2824, SGCB 3511, SGCB 3515, SGCB 3519, SGCH 3511, SGCH 3515, SGCH 3519, SGXB 3519, SGXB 3524, SGXH 3519, SGXH 4013, SGXH 4018, SGXH 4021",Not Specified,Industrial Refrigeration,None,,SGCH,2f61d56a71520604f6bfecc06e848998dfd27bca
SGC Rotary Screw Compressors SPC (1913-3524),SGC Rotary Screw Compressors SPC (1913-3524),070.650-SPC,Not Specified,2014-11 ,2014-11 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/H376JpISQUIKbdZ_7yXl5Q,FRICK,Compressor,"SGC 1913, SGC 1918, SGC 2313, SGC 2317, SGC 2321, SGC 2813, SGC 2817, SGC 2821 , SGC 2824, SGCB 3511, SGCB 3515, SGCB 3519, SGCH 3511, SGCH 3515, SGCH 3519, SGXB 3519, SGXB 3524, SGXH 3519, SGXH 4013, SGXH 4018, SGXH 4021",Not Specified,Industrial Refrigeration,None,,SGX,415622c2ce61f5329dd974d6c133c2097ddacf44
"TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)","TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)",070.250-IOM,Not Specified,2011-04,2011-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/aCyIXTI7NH0IsOu~AJHIXA,FRICK,Compressor,"408L, 408S, 408XL, TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S",Not Specified,Industrial Refrigeration,None,,TDSB,27a6bba66a21c804e331757a6e33bada04abd18a
"TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)","TDS 408 mm Rotary Screw Compressor IOM (408S, 408L, and 408XL)",070.250-IOM,Not Specified,2011-04,2011-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/aCyIXTI7NH0IsOu~AJHIXA,FRICK,Compressor,"408L, 408S, 408XL, TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S, TDXB 355L, TDXB 355S, TDXB 355U, TDXB 355XL, TDXH 355L, TDXH 355S, TDXH 355XL, TDXH 408L, TDXH 408S, TDXH 408XL",Not Specified,Industrial Refrigeration,None,,TDSH,1a92a7c09b7ef83edcd5e08f79867d8f3e18f793
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,FRICK,Compressor,"408L, 408S, 408XL, TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S",Not Specified,Industrial Refrigeration,None,,TDSB,27a6bba66a21c804e331757a6e33bada04abd18a
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,FRICK,Compressor,"408L, 408S, 408XL, TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S, TDXB 355L, TDXB 355S, TDXB 355U, TDXB 355XL, TDXH 355L, TDXH 355S, TDXH 355XL, TDXH 408L, TDXH 408S, TDXH 408XL",Not Specified,Industrial Refrigeration,None,,TDSH,1a92a7c09b7ef83edcd5e08f79867d8f3e18f793
TDS Rotary Screw Compressor IOM (163-355),TDS Rotary Screw Compressor IOM (163-355),070.250-IOM1,Not Specified,2016-04,2016-04,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/6eOUpHD~vymIjJ7K5j7ANg,FRICK,Compressor,"TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S",Not Specified,Industrial Refrigeration,None,,TDSL,07c68800c1ac0435685d476a8db111059de15ed2
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,FRICK,Compressor,"408L, 408S, 408XL, TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S, TDXB 355L, TDXB 355S, TDXB 355U, TDXB 355XL, TDXH 355L, TDXH 355S, TDXH 355XL, TDXH 408L, TDXH 408S, TDXH 408XL",Not Specified,Industrial Refrigeration,None,,TDSH,1a92a7c09b7ef83edcd5e08f79867d8f3e18f793
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,FRICK,Compressor,"TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDXB 355L, TDXB 355S, TDXB 355U, TDXB 355XL, TDXH 355L, TDXH 355S, TDXH 355XL, TDXH 408L, TDXH 408S, TDXH 408XL",Not Specified,Industrial Refrigeration,None,,TDXB,9267184f56821d6cd08a201ed877651e5b921d74
"TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)","TDS/TDX Rotary Screw Compressor SPC (TDSH 163-283, TDXB/TDXH 355-408)",070.250-SPC,Not Specified,2014-11,2014-11,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/4hC1cZ7JIDfiMJmk91CyvA,FRICK,Compressor,"TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDXB 355L, TDXB 355S, TDXB 355U, TDXB 355XL, TDXH 355L, TDXH 355S, TDXH 355XL, TDXH 408L, TDXH 408S, TDXH 408XL",Not Specified,Industrial Refrigeration,None,,TDXH,40a26d292e9fa66bfb3c601af2951b75120678e5
TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),070.500-SPC,Not Specified,2012-01 ,2012-01 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/cRoNVHW7p~eUdx0uebRk6g,FRICK,Compressor,Not Specified,Not Specified,Industrial Refrigeration,None,,PDSH,76ff9ce28264ee59f2c143901a40cdf7928c5e6b
TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),TDSH/PDSH Rotary Screw Compressor SPL (163 - 408),070.500-SPC,Not Specified,2012-01 ,2012-01 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/cRoNVHW7p~eUdx0uebRk6g,FRICK,Compressor,"408L, 408S, 408XL, TDSB 355L, TDSB 355S, TDSB 355XL, TDSB355U, TDSH 163L, TDSH 163S, TDSH 193L, TDSH 193S, TDSH 233L, TDSH 233S, TDSH 233XL, TDSH 283L, TDSH 283S, TDSH 283SX, TDSH 355L, TDSH 355S, TDSH 355XL, TDSL 193L, TDSL 193S, TDSL 233L, TDSL 233S, TDSL 283L, TDSL 283S, TDXB 355L, TDXB 355S, TDXB 355U, TDXB 355XL, TDXH 355L, TDXH 355S, TDXH 355XL, TDXH 408L, TDXH 408S, TDXH 408XL",Not Specified,Industrial Refrigeration,None,,TDSH,1a92a7c09b7ef83edcd5e08f79867d8f3e18f793
"XJF IOM (95, 120, and 151)","XJF IOM (95, 120, and 151)",070.450-IOM,Not Specified,2013-11,2013-11,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/CrRpJ3kIFbd6qgNKTLYqrg,FRICK,Compressor,"120L, 120M, 120S, 120S , 151XP, 151XQ, 151XR, 151XS, 151XT , 95L, 95M, 95S, XJF 151A, XJF 151L, XJF 151M, XJF 151N",Not Specified,Industrial Refrigeration,None,,XJF,a7809851df8bbc67f61b896b8de256cf1fc428e1
"XJF IOM (95, 120, and 151)","XJF IOM (95, 120, and 151)",070.450-IOM,Not Specified,2013-11,2013-11,Installation Operation and Maintenance Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/CrRpJ3kIFbd6qgNKTLYqrg,FRICK,Compressor,"120L, 120M, 120S, 120S , 95L, 95M, 95S, XJF 151A, XJF 151L, XJF 151M, XJF 151N",Not Specified,Industrial Refrigeration,None,,XJS,9424ba81c6320720915b38c102bc9dbb780e59c4
XJF Rotary Screw Compressor SPC (151X),XJF Rotary Screw Compressor SPC (151X),070.455-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/dQiUkeXqaWQce9e7ftYicA,FRICK,Compressor,"120L, 120M, 120S, 120S , 151XP, 151XQ, 151XR, 151XS, 151XT , 95L, 95M, 95S, XJF 151A, XJF 151L, XJF 151M, XJF 151N",Not Specified,Industrial Refrigeration,None,,XJF,a7809851df8bbc67f61b896b8de256cf1fc428e1
XJS/XJF Rotary Screw Compressor SPC (95-151),XJS/XJF Rotary Screw Compressor SPC (95-151),070.510-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Gxg8nbGf8muRmgpjFoI71A,FRICK,Compressor,"120L, 120M, 120S, 120S , 151XP, 151XQ, 151XR, 151XS, 151XT , 95L, 95M, 95S, XJF 151A, XJF 151L, XJF 151M, XJF 151N",Not Specified,Industrial Refrigeration,None,,XJF,a7809851df8bbc67f61b896b8de256cf1fc428e1
XJS/XJF Rotary Screw Compressor SPC (95-151),XJS/XJF Rotary Screw Compressor SPC (95-151),070.510-SPC,Not Specified,2014-03 ,2014-03 ,Specification Guide,,2020-03-06,2020-03-06,2020-03-06,2020-03-06,/viewer/document/Gxg8nbGf8muRmgpjFoI71A,FRICK,Compressor,"120L, 120M, 120S, 120S , 95L, 95M, 95S, XJF 151A, XJF 151L, XJF 151M, XJF 151N",Not Specified,Industrial Refrigeration,None,,XJS,9424ba81c6320720915b38c102bc9dbb780e59c4
