title,created_at,link,metadata
Character Sets Supported,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/2EsLhUWxgyf0zj~QSXQaNg,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Network Security Options:,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/4IxJb7J2Iu2JOzgA9rwagA,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Networking Options:,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/WkFCxHCJ6A_65b8UYBaF3w,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Device Address Binding:,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/rAXZkX6IAB8Py9Zm9xBYZQ,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Data Link Layer Options,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/ac300p2MnI~wjT7M1dEenw,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Multi-state Output Object Type,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/xW5PAsofh6pFm0MgQsIFwg,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Multi-state Input Object Type,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/YvzdEP0HzjAwyppqeOjwZA,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Binary Output Object Type,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/S1FrNmXPqYZOwkkLpKWX6w,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Binary Input Object Type,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/~Y8ZG7NndWL3ZwagO2Gu~A,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Analog Output Object Type,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/fLvrrlXTT~f68nhqHk1TEQ,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Device Object Type,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/IN_4d3J4WVCWDlzdx0U_Bw,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Device,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/MhZe9OxG0hY8lJCLlwaGVg,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Standard Object Types Supported,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/DIr4xWx81Qk1MJwmy7XYNA,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Segmentation Capability,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/eJIy8VrojAkBxD2sOSpg0Q,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
BACnet Interoperability Building Blocks (BIBBs) (Annex K),2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/L~4l1~QAakGB6jkQWSe96Q,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
BACnet Standardized Device Profile for VRF Outdoor/Indoor Units (Annex L),2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/CGTHcTJcsZFLondninAV4Q,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
BACnet Standardized Device Profile (Annex L),2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/Q_c8rZOUQ59JG4fQfbT3cA,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Product Description,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/2h2AwJaHro~MeAciENCIfQ,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Annex A - Protocol Implementation Conformance Statement (Normative),2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/8MHbN_eAVKDwSCbg8IP0_w,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
Document Introduction,2018-01-01,/reader/VlKMf8eGMzbxxzE7P_yjkA/HVoMimHpu~In0lvSYeKchg,"Business: Building Automation and Controls,Brand: Johnson Controls,Category: Gateway/Router,Document Type: Protocol Implementation Conformance Statement,Document Number: LIT-12012608"
END‑USER LICENSE AGREEMENT,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Nh_boNRjLfVsTYHWZyVF0Q,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Undefined Component,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Qw27fnKULdYhW20RO0nHxQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Error in process,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ai7C6aP3wL2E52ZFp_d2fQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Status unknown,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/EdVBSf791EMt2LQvwoVxMA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Output status is not yet known,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/jz3DnM0iQ5DXlddslzvbgw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
No status available,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Dyk5LFDuAbSTcsLAt5NHEQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Data not available,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/RwCDOUYxnke6VHOF828x8g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Database Initialization,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/12C7foOgS4rQFy2ywiM_Sw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Application—Communication Failure,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/R~jDDjZgJBF45bCoJ3_ZZQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Application attempts communication,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/__PbrFTFfSjD964YwhDv6w,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Application status is not yet known,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/eSBKo59hsBFVGYEei5h6UA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway—Reload KT-NCC Firmware,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ZKeYdR4QdXJ6QlkR07swVQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway—Communication Failure,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/4rIaOTFyrtLDnk55pjyZNg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway in “Reload Data”,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/HQgugfCWDWPoHqdOHDIpww,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway OK—communicating,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/twfeAFgFOgHg~WG5ZQf_4Q,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway Trouble when Reloading,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/7MgefZdG6xe2YDgoe4TMVA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway Trouble,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/byuL_9TsZS76~baB_UVHdg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway communication is regular (no problem),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/YM67JMBmemBK_POwr08i6A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway—Communication Failure during Reload Data,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/0WTCQAcdNhBzeeJVmgw0AQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway in “Reload Data”,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/QD129cg3pq6btsxxyF2yNw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Gateway—Communication Failure,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/9dtzwXy26bY3cT1jy5dxuw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller connection—Communication Failure,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/YcNAlKtM2hs~B~eQPCjtDg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller connection connected and in “Reload Data”,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/MYVAHOpV5YObmPPFufXRtg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller connection connected,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/WQGMg1gfle9zZfVEXHnrXw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Connection status is not yet known,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/1Lduw6FKRLi97TLmBD4i2g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller connection,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/n5rHWGZQnn4rA2_cVE0z7g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input OK—Supervised by operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/4S8Z1sZdvNohuRowWhSK5w,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input OK—Supervised,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/m5h2N94VPGcgIMFsxhUHAg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input OK—Shunted by operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/QGPlhchpnx~EjN5Mp_bvzg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input OK—Not supervised,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/RyIVfMC8RmXwxoTTPaT2qQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input in alarm—Supervised by operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/HwqpvvAps0vRUBpy3T2taQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input in alarm—Supervised,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ihWuG2FngD~iZJbAq5wpFQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input in alarm—Shunted by operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Cllasq2vx_aO1j4jp3Q04A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input in alarm—Not supervised,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/2BNumnXC75ZvcdatfZcOoA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input activated—Supervised temporarily manual operation,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/KdCc6FPOEKm03IN2mGi~0g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input activated—Supervised manual operation,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/KF2_lTf1nZfbRxmk9psRVA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input activated—Not supervised manual operation,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/W~cuXsnYRCcs9wHHMUjkzw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input activated—Supervised,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ymK68s_mL3I3HIUf7S99sw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Input activated—Not supervised,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/mL6f6QcHuWy~NAkRt~b3Lw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Inputs,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/hb8TG~y2dbS7b_pXDP3zBA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay deactivated,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/PXWlhfinvgfV52FuYTnKgw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay temporarily activated by a schedule,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/KsTKmlKsphPLLaJL1Sn5Ug,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay temporarily activated by an operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Jmr_xoPVdCd9DdMBGUmqhw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay activated by an operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Rf1QED1CtoepvDSY13msDA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay temporarily activated by an input,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/O5_6twAywTv14y5A0n~K7w,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay activated by an input,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/iLaKZN~fGlid0RbgPJY8Ig,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay temporarily activated by an event,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/NCNUYZ0ZgtxCH__VGIuX~g,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay activated by an event,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/myO5c9Rej9Uf_Vs6pwVgQA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay activated by alarm system delay,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/gl0AY__PNivw~HWG9bJttg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay activated by alarm system function,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/AzO95TclxIQTWVWdfFbTGQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relay activated by alarm system in alarm,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/UrIcjLvf42bng_28uW86Hg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Relays,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/oP~OiDuYP1CMf~3qohqe5Q,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Wireless Lock Error,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/dZZt~Tb8wCijvRN2RqJh~w,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Wireless Lock Connected,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Euqvx8RA4oP1lscBbR_V1w,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Elevator door unlocked and closed,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/mHNF0PLOGVi9cLsIrDijfw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door unlocked by a schedule (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/f4dsCkrIDKrqrlWd1Ti0pQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door unlocked by a schedule,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/mlsApN4wcy4K~zARH0oY6A,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door unlocked by an operator (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Oa~zQRx2iQiDTwvuZm2bOA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door unlocked by an operator,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/nMlvebmL4IltU_MmJ1Wwhw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door still opened schedule invalid (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/3K98sen1NNyfEpWUeI_Crw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door still opened schedule invalid,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/JazP_WMchJ9b8_XL7d~CEg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door pre-alarm on open too long (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/9XrzmEXRXuwli_UKy3R5SA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door pre-alarm on open too long,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/_y29tLWRpLzx5z5mtQWVuw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door is opened and unlocked by schedule (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ku2ZdUgsXwly1qIKn4yg7Q,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door is opened and unlocked by schedule,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/wPy_tzEr5FCDweB43DQIRQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door open and unlocked manually (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/e1255FL3Dl8Vyj_WPwZGKg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door open and unlocked manually,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/CZIf6PKDNtvMcSEo9YaIHA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door open too long (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ra~qNaWvOjUqsPw5dicIkg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door open too long,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/EqYvgfuDAsB7T5QsEdSMwA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door closed and locked (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/XTAfU59Vqv6xfw~EtB1ANw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door closed and locked,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/VwGI74FkaiWfe659BG0kNA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door forced open (reader disabled),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/yZ9~ZCTlrjrt7lgsEZ_4vQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Door forced open,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/ihP_dRxSMQb7PrF75X8PFg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Doors,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/R3N_F~69jOJJ6n2pqdWpnA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
KT-400 controller trouble,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/F7uN_wef8~5jZUXjPcubdA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller reloading firmware,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/El0zGM_lYNE3nl5yk0bxQw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller tamper in alarm,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/T3xRGPJK2ktfL3QZ1~soLA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller is in reset and tamper in alarm,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/5xNoAg58rsd1ky2m8Y7XIQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
"Controller is in “Reset”, “AC failure” and “Tamper in alarm”",2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/x~CR9kL_U4A7Q1kaW~eRIg,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller is in “Reset” and AC failure,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/6FMVQ9ewIrQQ947ZoI~HUQ,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller communication is regular (no problem),2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/QUdjQSMmYskG13HT4uC_Ng,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller is not communicating,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/Gj4viCma9VeQipkMHjCUcw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller AC failure and Tamper Switch in “alarm”,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/qwqpzB6iqEtN6_PhM1vCig,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller Polling Malfunction,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/bybsd1FiqIP18lujdB54Jw,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
Controller AC failure,2018-01-01,/reader/u~MfuMBgrQJrT6Z936erTw/IthiimnKJHnnXp_6MjRHGA,"Brand: Kantech,Category: Software,Product: EntraPass,Version: 7.40,Document Type: Administration Guide"
